"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"TypeEvalPy: A Micro-Benchmarking Framework for Python Type Inference Tools","A. P. S. Venkatesh; S. Sabu; J. Wang; A. M. Mir; L. Li; E. Bodden","Heinz Nixdorf Institut, Paderborn University, Paderborn, Germany; Paderborn University, Paderborn, Germany; Faculty of Information Technology, Monash University, Melbourne, Australia; Delft University of Technology, Delft, The Netherlands; School of Software, Beihang University, Beijing, China; Heinz Nixdorf Institut & Fraunhofer IEM, Paderborn University, Paderborn, Germany",2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"20 Jun 2024","2024","","","49","53","In light of the growing interest in type inference research for Python, both researchers and practitioners require a standardized process to assess the performance of various type inference techniques. This paper introduces TYPEEvALPy, a comprehensive micro-benchmarking framework for evaluating type inference tools. TYPE-EVALPy contains 154 code snippets with 845 type annotations across 18 categories that target various Python features. The framework manages the execution of containerized tools, transforms inferred types into a standardized format, and produces meaningful metrics for assessment. Through our analysis, we compare the performance of six type inference tools, highlighting their strengths and limitations. Our findings provide a foundation for further research and optimization in the domain of Python type inference.","2574-1934","979-8-4007-0502-1","10.1145/3639478.3640033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10554956","type inference;python;micro-benchmark","Measurement;Codes;Annotations;Transforms;Static analysis;Optimization;Python","","1","","10","CCBY","20 Jun 2024","14-20 April 2024","14-20 April 2024","IEEE","IEEE Conferences"
"How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python","W. Xu; L. Chen; C. Su; Y. Guo; Y. Li; Y. Zhou; B. Xu","State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China",2023 IEEE/ACM 31st International Conference on Program Comprehension (ICPC),"13 Jul 2023","2023","","","242","253","Python has become increasingly popular and widely used in many fields. Dynamic features of Python provide much convenience for developers. However, they can also cause many type-related bugs undetected until runtime, which increases the cost of maintenance. Static type checking is essential to find bugs early, and the introduction of gradual typing and type annotations makes it easier to perform static type analysis. However, it remains to be investigated how well gradual typing improves real bug detection. Therefore, we conducted a comprehensive study on three widely used checkers: MyPy, PyRight, and PyType. We used a benchmark containing 10 popular Python projects with 40 real type-related bugs. First, we performed static type checking on the projects with and without type annotations to evaluate the effectiveness of finding real bugs. Second, we manually analyzed the missing bugs and investigated the reasons. The results show that the three tools can detect 29 of the 40 studied bugs after annotating, while only 14 bugs are detected before annotating. We also found that type annotations can substantially improve the ability of static type checkers to detect real bugs. A detailed analysis of bugs missed by the checkers shows that: (i) the accuracy of type analysis is challenged when it comes to programs with complicated dynamic features, such as dynamically changing object’s attributes, even with annotations; (ii) the inaccurate type annotations can undermine the ability of static type checkers to detect real bugs; (iii) static type checkers have different checking strategies in some cases, which has an impact on real bug detection. Our study can not only enable developers to better understand static type checking and make better use of them but also guide future research.","2643-7171","979-8-3503-3750-1","10.1109/ICPC58990.2023.00039","National Natural Science Foundation of China; Nanjing University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173949","bug detection;type annotation;Python;gradual typing;static type checking","Runtime;Costs;Annotations;Computer bugs;Maintenance engineering;Benchmark testing;Feature extraction","","2","","50","IEEE","13 Jul 2023","15-16 May 2023","15-16 May 2023","IEEE","IEEE Conferences"
"Enhancing Python Code Security: A Comparison of Machine Learning, ChatGPT, and Static Analysis Methods","T. Farasat; J. Posegga","University of Passau, Passau, Germany; University of Passau, Passau, Germany",2025 International Conference on Electrical and Computer Engineering Researches (ICECER),"25 Feb 2026","2025","","","1","4","Detecting software vulnerabilities in Python code is crucial for maintaining application security. This paper presents a comparative study of static analysis tools, a machine learning model, and the large language model ChatGPT for vulnerability detection in Python source code. We evaluate these approaches on 21 Python scripts representing seven common vulnerability types. Our results show that both the machine learning model and ChatGPT significantly outperform traditional static analyzers. This work highlights the promising potential of leveraging advanced data-driven methods and large language models to improve Python vulnerability detection.","","978-1-6654-5756-9","10.1109/ICECER65523.2025.11401125","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11401125","Software Vulnerabilities;Python;Static analyzers;Machine Learning;ChatGPT","Analytical models;Electric potential;Codes;Large language models;Source coding;Machine learning;Static analysis;Chatbots;Software;Python","","","","37","IEEE","25 Feb 2026","6-8 Dec. 2025","6-8 Dec. 2025","IEEE","IEEE Conferences"
"ManyTypes4Py: A Benchmark Python Dataset for Machine Learning-based Type Inference","A. M. Mir; E. Latoškinas; G. Gousios","Department of Software Technology, Delft University of Technology, Delft, The Netherlands; Department of Software Technology, Delft University of Technology, Delft, The Netherlands; Department of Software Technology, Delft University of Technology, Delft, The Netherlands",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","585","589","In this paper, we present ManyTypes4Py, a large Python dataset for machine learning (ML)-based type inference. The dataset contains a total of 5,382 Python projects with more than 869K type annotations. Duplicate source code files were removed to eliminate the negative effect of the duplication bias. To facilitate training and evaluation of ML models, the dataset was split into training, validation and test sets by files. To extract type information from abstract syntax trees (ASTs), a light-weight static analyzer pipeline is developed and accompanied with the dataset. Using this pipeline, the collected Python projects were analyzed and the results of the AST analysis were stored in JSON-formatted files. The ManyTypes4Py dataset is shared on zenodo and its tools are publicly available on GitHub.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463150","Type Inference;Machine Learning;Python;Type Annotations;Static Analysis","Training;Analytical models;Annotations;Pipelines;Tools;Benchmark testing;Syntactics","","20","","16","IEEE","28 Jun 2021","17-19 May 2021","17-19 May 2021","IEEE","IEEE Conferences"
"DLInfer: Deep Learning with Static Slicing for Python Type Inference","Y. Yan; Y. Feng; H. Fan; B. Xu","State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),"14 Jul 2023","2023","","","2009","2021","Python programming language has gained enor-mous popularity in the past decades. While its flexibility signifi-cantly improves software development productivity, the dynamic typing feature challenges software maintenance and quality assurance. To facilitate programming and type error checking, the Python programming language has provided a type hint mechanism enabling developers to annotate type information for variables. However, this manual annotation process often requires plenty of resources and may introduce errors. In this paper, we propose a deep learning type inference technique, namely DLInfer, to automatically infer the type infor-mation for Python programs. DLInfer collects slice statements for variables through static analysis and then vectorizes them with the Unigram Language Model algorithm. Based on the vectorized slicing features, we designed a bi-directional gated recurrent unit model to learn the type propagation information for inference. To validate the effectiveness of DLInfer, we conduct an extensive empirical study on 700 open-source projects. We evaluate its accuracy in inferring three kinds of fundamental types, including built-in, library, and user-defined types. By training with a large-scale dataset, DLInfer achieves an average of 98.79% Top-1 accuracy for the variables that can get type information through static analysis and manual annotation. Further, DLInfer achieves 83.03% type inference accuracy on average for the variables that can only obtain the type information through dynamic analysis. The results indicate DLInfer is highly effective in inferring types. It is promising to apply it to assist in various software engineering tasks for Python programs.","1558-1225","978-1-6654-5701-9","10.1109/ICSE48619.2023.00170","National Natural Science Foundation of China(grant numbers:62172209); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10172544","type inference;Python;static slicing","Deep learning;Training;Software maintenance;Quality assurance;Annotations;Static analysis;Manuals","","10","","76","IEEE","14 Jul 2023","14-20 May 2023","14-20 May 2023","IEEE","IEEE Conferences"
"Generative Type Inference for Python","Y. Peng; C. Wang; W. Wang; C. Gao; M. R. Lyu","Computer Science and Engineering Department, The Chinese University of Hong Kong, Hong Kong, China; Computer Science and Engineering Department, The Chinese University of Hong Kong, Hong Kong, China; Computer Science and Engineering Department, The Chinese University of Hong Kong, Hong Kong, China; School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China; Computer Science and Engineering Department, The Chinese University of Hong Kong, Hong Kong, China",2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),"8 Nov 2023","2023","","","988","999","Python is a popular dynamic programming language, evidenced by its ranking as the second most commonly used language on GitHub. However, its dynamic type system can lead to potential type errors, leading researchers to explore automatic type inference approaches for Python programs. Existing type inference approaches can be generally grouped into three categories, i.e., rule-based, supervised, and cloze- style approaches. The rule-based type inference approaches can ensure the accuracy of predicted variable types, but they suffer from low coverage problems caused by dynamic features and external calls. Supervised type inference approaches, while feature-agnostic and able to mitigate the low coverage problem, require large, high- quality annotated datasets and are limited to pre-defined types. As zero-shot approaches, the cloze-style approaches reformulate the type inference problem into a fill-in-the-blank problem by leveraging the general knowledge in powerful pre-trained code models. However, their performance is limited since they ignore the domain knowledge from static typing rules which reflect the inference logic. What is more, their predictions are not interpretable, hindering developers' understanding and verification of the results. This paper introduces Typegen, a few-shot generative type inference approach that incorporates static domain knowledge from static analysis. Typegen creates chain-of-thought (COT) prompts by translating the type inference steps of static analysis into prompts based on the type dependency graphs (TDGs), enabling language models to learn from how static analysis infers types. By combining COT prompts with code slices and type hints, TypegEnconstructs example prompts from human annotations. Typeg Enonly requires very few annotated examples to teach language models to generate similar COT prompts via in-context learning. Moreover, Typeg Enenhances the interpretability of results through the use of the input- explanation-output strategy, which generates both explanations and type predictions in COT prompts. Experiments show that Typegen outperforms the best baseline Type4Py by 10.0% for argument type prediction and 22.5 % in return value type prediction in terms of top-l Exact Match by using only five examples. Furthermore, Typeg Enachieves substantial improvements of 27 % to 84 % compared to the zero-shot performance of large language models with parameter sizes ranging from 1.3B to 175B in terms of top-I Exact Match.","2643-1572","979-8-3503-2996-4","10.1109/ASE56229.2023.00031","National Natural Science Foundation of China(grant numbers:62002084); Natural Science Foundation of Guangdong Province(grant numbers:2023A1515011959); Key Program of Fundamental Research from Shenzhen Science and Technology Innovation Commission(grant numbers:JCYJ20200109113403826); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298512","type inference;chain-of-thought;generative model","Analytical models;Codes;Annotations;Static analysis;Distance measurement;Dynamic programming;Python","","36","","53","IEEE","8 Nov 2023","11-15 Sept. 2023","11-15 Sept. 2023","IEEE","IEEE Conferences"
"The Python/C API: Evolution, Usage Statistics, and Bug Patterns","M. Hu; Y. Zhang","Lab for Intelligent Networking and Knowledge Engineering (LINKE), University of Science and Technology of China, Hefei, China; Lab for Intelligent Networking and Knowledge Engineering (LINKE), University of Science and Technology of China, Hefei, China","2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)","2 Apr 2020","2020","","","532","536","Python has become one of the most popular programming languages in the era of data science and machine learning, especially for its diverse libraries and extension modules. Python front-end with C/C++ native implementation achieves both productivity and performance, almost becoming the standard structure for many mainstream software systems. However, feature discrepancies between two languages can pose many security hazards in the interface layer using the Python/C API. In this paper, we applied static analysis to reveal the evolution and usage statistics of the Python/C API, and provided a summary and classification of its 10 bug patterns with empirical bug instances from Pillow, a widely used Python imaging library. Our toolchain can be easily extended to access different types of syntactic bug-finding checkers. And our systematical taxonomy to classify bugs can guide the construction of more highly automated and high-precision bug-finding tools.","1534-5351","978-1-7281-5143-4","10.1109/SANER48275.2020.9054835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054835","Python/C API;Static analysis;Evolution analysis;Fact extraction;Bug pattern","Productivity;Computer bugs;Taxonomy;Static analysis;Syntactics;Software systems;Libraries","","20","","23","IEEE","2 Apr 2020","18-21 Feb. 2020","18-21 Feb. 2020","IEEE","IEEE Conferences"
"AI-Powered Python Code Reviewer using Streamlit and Google Gemini","D. Rajput; K. Dixit; A. Sehrawat; A. Jain; Rohit; B. Malik","Department of CSE(AI), Krishna Institute of Engineering & Technology (KIET) Ghaziabad, Delhi-NCR, Uttar Pradesh, India; Department of CSE(AI), Krishna Institute of Engineering & Technology (KIET) Ghaziabad, Delhi-NCR, Uttar Pradesh, India; Department of CSE(AI), Krishna Institute of Engineering & Technology (KIET) Ghaziabad, Delhi-NCR, Uttar Pradesh, India; Department of CSE(AI), Krishna Institute of Engineering & Technology (KIET) Ghaziabad, Delhi-NCR, Uttar Pradesh, India; Department of CSE(AI), Krishna Institute of Engineering & Technology (KIET) Ghaziabad, Delhi-NCR, Uttar Pradesh, India; Department of CSE, GL Bajaj Institute of Technology & Management Greater Noida, Delhi-NCR, Uttar Pradesh, India",2026 International Conference on NextGen Data Science and Analytics (ICNDSA),"19 Aug 2026","2026","","","1","5","This article presents the design, implementation, and evaluation of an AI-based Python code reviewer. This reviewer analyzes source code to identify potential errors and proposes suggestions for improvement, generating optimized, executable solutions. The system integrates static analysis techniques with reasoning based on large language models, and utilizes Google Gemini for programming via Google’s Generative AI Applications interface. The intuitive interface (developed using Streamlit) allows users to submit code snippets or upload Python files and receive instant feedback regarding syntax errors, logic flaws, performance issues, and code quality. The proposed method combines rule-based analysis with semantic reasoning to provide structured and prioritized suggestions. The system is evaluated against a carefully curated dataset of Python code to measure detection accuracy, the utility of the suggestions, and response latency. Experimental results demonstrate that the system significantly enhances debugging efficiency and provides valuable insights into common programming errors. However, there are limitations regarding the handling of complex multi-file dependencies and advanced testing scenarios. The study concludes with an analysis of implementation considerations, security aspects, and future lines of development-including improved integration with the development environment and the automatic generation of code patches.","","979-8-3315-7172-6","10.1109/ICNDSA68777.2026.11652287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11652287","Automated Program Repair;Code Review;Large Language Models;Static Analysis;Python Programming;Streamlit","Codes;Modeling;Large language models;Maintenance engineering;Programming;Testing;Accuracy;Static analysis;Printing;Python","","","","14","IEEE","19 Aug 2026","10-11 April 2026","10-11 April 2026","IEEE","IEEE Conferences"
"Generating Tests to Analyse Dynamically-Typed Programs","S. Lukasczyk","University of Passau, Passau, Germany",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),"9 Jan 2020","2019","","","1226","1229","The increasing popularity of dynamically-typed programming languages, such as JavaScript or Python, requires specific support methods for developers to avoid pitfalls arising from the dynamic nature of these languages. Static analyses are frequently used but the dynamic type systems limit their applicability. Dynamic analyses, in contrast, depend on the execution of the code under analysis, and thus depend on the quality of existing tests. This quality of the test suite can be improved by the use of automated test generation but automated test generation for dynamically-typed programming languages itself is hard due to the lack of type information in the programs. The limitations of each of these approaches will be overcome by iteratively combining test generation with static and dynamic analysis techniques for dynamically-typed programs.","2643-1572","978-1-7281-2508-4","10.1109/ASE.2019.00146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952500","Dynamic Analysis;Static Analysis;Python;Type Inference;Test Generation","Test pattern generators;Static analysis;Python;Dynamic programming;Performance analysis;Java","","2","","32","IEEE","9 Jan 2020","11-15 Nov. 2019","11-15 Nov. 2019","IEEE","IEEE Conferences"
"The Emergence of Large Language Models in Static Analysis: A First Look Through Micro-Benchmarks","A. P. S. Venkatesh; S. Sabu; A. M. Mir; S. Reis; E. Bodden","Heinz Nixdorf Institut, Paderborn University, Paderborn, Germany; Paderborn University, Paderborn, Germany; Delft University of Technology, Delft, The Netherlands; IST, University of Lisbon & INESC-ID, Lisbon, Portugal; Heinz Nixdorf Institut & Fraunhofer IEM, Paderborn University, Paderborn, Germany",2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering (Forge) Conference Acronym:,"30 Jul 2024","2024","","","35","39","The application of Large Language Models (LLMs) in software engineering, particularly in static analysis tasks, represents a paradigm shift in the field. In this paper, we investigate the role that current LLMs can play in improving callgraph analysis and type inference for Python programs. Using the PyCG, HeaderGen, and TypeEvalPy micro-benchmarks, we evaluate 26 LLMs, including OpenAI's GPT series and open-source models such as LLaMA. Our study reveals that LLMs show promising results in type inference, demonstrating higher accuracy than traditional methods, yet they exhibit limitations in callgraph analysis. This contrast emphasizes the need for specialized fine-tuning of LLMs to better suit specific static analysis tasks. Our findings provide a foundation for further research towards integrating LLMs for static analysis tasks.","","979-8-4007-0536-6","10.1145/3650105.3652288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10599586","Type inference;python;LLM;static analysis","Adaptation models;Analytical models;Quantization (signal);Terminology;Computational modeling;Large language models;Static analysis","","","","24","","30 Jul 2024","14-14 April 2024","14-14 April 2024","IEEE","IEEE Conferences"
