"title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improve - HDL - a DO-254 formal property checker used for design and verification of avionics protocol controllers","S. Dellacherie; L. Burgaud; P. di Crescenzo","TNI-VALIOSYS, Caen, France; TNI-VALIOSYS, Toulouse, France; TNI-VALIOSYS, Paris, France","Digital Avionics Systems Conference, 2003. DASC '03. The 22nd","15 Oct 2012","2003","1","","1.A.1","1.1-8 vol.1","Today's airplane consists of a big network linking embedded controllers to sensors/actuators and communications equipment onboard. Efforts made in recent years to simplify network wirings have resulted in significant reductions in the aircraft weight and labor required to run wiring harnesses. This has often come out at the cost of a more complex data bus architecture (bi-directional protocol instead of unidirectional protocol). As DO-178B is a requirement for certifiable avionics SW design, DO-254 is a set of design guidelines for airborne HW electronics. DO254 considers the use of formal methods and requirements traceability when developing HW to support safety-critical (Level A or B) functions. This article presents a static formal approach that may be used, in combination with requirements traceability features, to apply formal methods in the design and verification of HW controllers to support such protocols as ARINC 429, ARINC 629, MIL-STD-1553B, etc. Model simulation is today's standard practice in verifying HW electronics. A major drawback in simulation is the lack of exhaustive checking, since simulation results are only a function of the testbench scenario defined by the designers. For example, using simulation one cannot guarantee such system behaviors as ""the controller shall always respond to a request,"" ""acknowledge shall always arrive no later than N cycles,"" ""the controller shall not drop any data,"" ""the controller shall not lock up,"" etc. improve-HDL is a formal property checker that complements simulation in performing exhaustive debugging of VHDL/Verilog register-transfer-level HW models of complex avionics protocol controllers without the need to create testbenches. Reqtify is used to track requirements throughout the verification process and to produce coverage reports. Using improve-HDL coupled wit;Today's airplane consists of a big network linking embedded controllers to sensors/actuators and communications equipment onboard. Efforts made in recent years to simplify network wirings have resulted in significant reductions in the aircraft weight and labor required to run wiring harnesses. This has often come out at the cost of a more complex data bus architecture (bi-directional protocol instead of unidirectional protocol). As DO-178B is a requirement for certifiable avionics SW design, DO-254 is a set of design guidelines for airborne HW electronics. DO254 considers the use of formal methods and requirements traceability when developing HW to support safety-critical (Level A or B) functions. This paper presents a static formal approach that may be used, in combination with requirements traceability features, to apply formal methods in the design and verification of HW controllers to support such protocols as ARINC 429, ARINC 629, MIL-STD-1553B, etc. Model simulation is today's standard practice in verifying HW electronics. A major drawback in simulation is the lack of exhaustive checking, since simulation results are only a function of the testbench scenario defined by the designers. For example, using simulation one cannot guarantee such system behaviors as ""the controller shall always respond to a request"", ""acknowledge shall always arrive no later than N cycles"", ""the controller shall not drop any data"", ""the controller shall not lock up"", etc. improve-HDL is a formal property checker that complements simulation in performing exhaustive debugging of VHDL/Verilog register-transfer-level HW models of complex avionics protocol controllers without the need to create testbenches. Reqtify is used to track requirements throughout the verification process and to produce coverage reports. Using improve-HDL coupled with Reqtify, avionics HW designers are assured that their bus controllers meet the most stringent safety guidelines outlined in DO-254.","","0-7803-7844-X","10.1109/DASC.2003.1245801","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5731053","","Computer bugs;Protocols;Tools;Aerospace electronics;Data models;Model checking;Memory management","","8","","5","IEEE","15 Oct 2012","12-16 Oct. 2003","12-16 Oct. 2003","IEEE","IEEE Conferences"
"Formal verification of the AAMP5 microprocessor: a case study in the industrial use of formal methods","S. P. Miller; M. Srivas","Collins Commercial Avionics, Rockwell International Corporation, IA, USA; Computer Science Laboratory, SRI International, Inc., Menlo Park, CA, USA",Proceedings of 1995 IEEE Workshop on Industrial-Strength Formal Specification Techniques,"6 Aug 2002","1995","","","2","16","This paper describes the experiences of Collins Commercial Avionics and SRI International informally specifying and verifying the microcode for the AAMP5 microprocessor with the PVS verification system. This project was conducted to determine if an industrial microprocessor designed for use in real-time embedded systems could be formally specified at the instruction set and register transfer levels and if formal proofs could be used to prove the microcode correct. The paper provides a brief technical overview, but its emphasis is on the lessons learned in using PVS for an example of this size and the implications for using formal methods in an industrial setting.","","0-8186-7005-3","10.1109/WIFT.1995.515475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=515475","","Formal verification;Microprocessors;Computer aided software engineering;Aerospace electronics;Formal specifications;Error correction;Hardware;NASA;Computer science;Laboratories","","37","","32","IEEE","6 Aug 2002","5-8 April 1995","5-8 April 1995","IEEE","IEEE Conferences"
"Formal methods for aerospace applications","E. Feron","Georgia Technology, USA",2012 Formal Methods in Computer-Aided Design (FMCAD),"18 Feb 2013","2012","","","3","3","Formal methods are being progressively incorporated in the aircraft and spacecraft software design and verification process and become commonplace elements of the aerospace industry. Five aerospace software system experts will present their views on this process and where it is headed. Focusing first on design issues, PETE MANOLIOS (Northeastern University, USA) will discuss design aspects and costs of commercial air transport vehicles, including integrated modular avionics, verification costs, and system integration. He will then discuss how new verification technology is used to algorithmically synthesize an optimal architecture subject to high level constraints. This work will be illustrated by a case study involving the Boeing 787 Dreamliner. MARC PANTEL (IRIT, France) will then discuss safety requirements as a key aspect of the development of embedded systems in avionics. He will discuss the current regulations linking safety requirements to software design guidelines. He will then discuss novel approaches to model driven software development, using formal models and verification activities at the various steps of the development cycle. Experiments conducted in relation with European avionics companies will be described. Moving then towards analysis methods, GUILLAUME BRAT (NASA, USA) will discuss sound, complete, precise, and scalable static analysis of flight control systems. He will introduce the IKOS static analysis framework, whose intellectual foundation is abstract interpretation. He will insist on compositional verification, a necessary tool for to make formal methods scale up to real, avionics systems. He will address the component-based development approach of these systems. ERIC FERON (Georgia Tech, USA), and PIERRE-LOIC GAROCHE will discuss the application of the methods introduced above to control software, a narrow, but essential component of any safety-critical software system. They will then describe a possible evolution of the current development process of aircraft control systems towards more formalism (through a combination of formal proof and proof replay). They will discuss the static analysis of the behavior of the controller (stability and other non linear properties), and the static analysis of the safety architecture of the controller.","","978-0-9835678-2-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6462547","","USA Councils;Aerospace electronics;Aerospace industry;Safety;Abstracts;Software design;Software systems","","","","","","18 Feb 2013","22-25 Oct. 2012","22-25 Oct. 2012","IEEE","IEEE Conferences"
"Cost effectiveness of formal methods in the development of avionics systems at Aerospatiale","F. Pilarski","Design and specification methods, Systems Department Aerospatiale, Toulouse, France",17th DASC. AIAA/IEEE/SAE. Digital Avionics Systems Conference. Proceedings (Cat. No.98CH36267),"6 Aug 2002","1998","1","","C14/1","C14/9 vol.1","Aerospatiale has been using formal methods since the early 80's to develop part of the embedded systems, and more specifically most of the avionics systems. During the last two decades, such an approach has demonstrated significant cost savings. This paper presents some aspects of this approach and focuses more precisely on the way it has helped in reducing embedded system development and maintenance costs. This first section of this paper is devoted to a general description of the overall context and it gives some elements of history. Basically this section is focused on the tool SCADE and its predecessors (SAO) which implements the main, though not only, formal method used at Aerospatiale. The second section summarizes the benefits Aerospatiale has found in using SAO first, and now SCADE, and constitutes an attempt to synthesize the properties and characteristics that make a formal method efficient (at Aerospatiale). The third section summarizes some aspects of formal methods, which have not been extensively used yet but which are likely to induce extra cost reduction, namely proof techniques. As a conclusion it is recalled that formal methods have been demonstrated to be cost effective at Aerospatiale, especially SAO and now SCADE. In addition same extra cost saving is expected, thanks to the industrial maturity of proof techniques.","","0-7803-5086-3","10.1109/DASC.1998.741481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=741481","","Costs;Aerospace electronics;Aircraft;Embedded system;Testing;Embedded computing;Design methodology;History;Safety;Read-write memory","","1","","","IEEE","6 Aug 2002","31 Oct.-7 Nov. 1998","31 Oct.-7 Nov. 1998","IEEE","IEEE Conferences"
"Using Formal Methods and Testability Concepts in the Avionics Systems Validation and Verification (V&V) Process","O. Laurent","Airbus France, Toulouse, France","2010 Third International Conference on Software Testing, Verification and Validation","3 Jun 2010","2010","","","1","10","Airbus has used formal methods for several years to specify avionics systems. Thanks to these methods, formal verification, testability concepts and automatic test case generation were explored and experimented on Airbus systems. This paper depicts the Airbus validation and verification process all along the system development cycle pointing out what kinds of static analysis and dynamic verification and validation activities are conducted. Then, we focus on innovative methods based on testing strategies for traceability purposes, testing design and fault isolation. Some considerations related to automatic test case generation are also discussed.","2159-4848","978-1-4244-6436-4","10.1109/ICST.2010.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5477108","Formal methods;testing strategy;automatic test case generation;validation and verification","System testing;Aerospace electronics;Automatic testing;Formal specifications;Aircraft;Software testing;Ground support;Assembly systems;Fault diagnosis;Automation","","12","","29","IEEE","3 Jun 2010","6-10 April 2010","6-10 April 2010","IEEE","IEEE Conferences"
"Software model checking for avionics systems","D. Cofer; M. Whalen; S. Miller","Rockwell Collins, Inc., Cedar Rapids, IA, USA; Rockwell Collins, Inc., Cedar Rapids, IA, USA; Rockwell Collins, Inc., Cedar Rapids, IA, USA",2008 IEEE/AIAA 27th Digital Avionics Systems Conference,"9 Dec 2008","2008","","","5.D.5-1","5.D.5-8","The adoption of model-based development tools is changing the cost-benefit equation for the industrial use of formal methods. The integration of formal methods such as model checking into software development environments makes it possible to fight increasing cost and complexity with automation and rigor. This paper describes how formal analysis tools can be inserted into a model-based development process to decrease costs and increase quality of safety-critical avionics software.","2155-7209","978-1-4244-2207-4","10.1109/DASC.2008.4702862","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4702862","","Aerospace electronics;Costs;Automatic testing;Software testing;Life testing;System testing;Power system modeling;Software tools;Programming;Software safety","","8","","9","IEEE","9 Dec 2008","26-30 Oct. 2008","26-30 Oct. 2008","IEEE","IEEE Conferences"
"A formal method approach to analyze the design of aircraft Flight Control Systems","M. Nanda; S. Rao","International Institute of Information Technology, Bangalore, Bangalore, India; International Institute of Information Technology, Bangalore, Bangalore, India",2009 3rd Annual IEEE Systems Conference,"17 Apr 2009","2009","","","64","69","The paper shows how the system algebra formal method can be used to analyze the system design of safety critical systems like the Flight Control Systems (FCS) of Jaguar, Airbus A380, and the Boeing 777 aircraft. The capability of the system algebra to verify critical system features like system availability, redundancy, coupling and fault tolerance based on the system states is demonstrated by simulation. The results presented are verification of the safety design requirements of the Jaguar aircraft, and a comparison of the FCSs of the Boeing 777 and Airbus A380. A comparison of system algebra with other popular system analysis approaches like the reliability block diagram (RBD) and fault tree analysis (FTA) is discussed.","","978-1-4244-3462-6","10.1109/SYSTEMS.2009.4815773","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815773","formal methods;safety-critical systems;system algebra;avionics;fault tree analysis;reliability block diagrams","Aerospace control;Aircraft;Algebra;Safety;Aerospace electronics;US Department of Transportation;Performance analysis;System analysis and design;Modeling;Information analysis","","5","1","16","IEEE","17 Apr 2009","23-26 March 2009","23-26 March 2009","IEEE","IEEE Conferences"
"Formal verification and legacy redesign","F. C. D. Young; J. A. Houston","AFRL IFTA, Air Force Research Laboratory, OH, USA; LMTAS, Lockheed Martin Tactical Aircraft Systems Company, Fort Worth, TX, USA",Proceedings of the IEEE 1998 National Aerospace and Electronics Conference. NAECON 1998. Celebrating 50 Years (Cat. No.98CH36185),"6 Aug 2002","1998","","","627","638","Sustaining weapons system hardware and software represents a significant and ever-increasing portion of total system cost. Hardware components are becoming obsolete much sooner while weapons system lifetimes are increasing. We must identify more cost-effective solutions to engineering and reengineering these subsystems. Verifying and validating weapons systems are two of the most costly parts of either engineering process. Traditionally, hardware validation and verification is done by simulation and testing. In the past few years, math-and logic-based formal methods tools have begun to scale up to and be applied successfully to real-world problems. Incorporating formal verification methods into engineering and reengineering processes will cost-effectively and significantly improve the level of trust and the quality of our weapons systems. Formal methods are especially well suited for redesigning current weapon systems which have become unsupportable due to component obsolescence because they help minimize the astronomical costs of rigorously reverifying the reengineered components. We believe that formal methods are an important tool for effective engineering of future weapon systems.","0547-3578","0-7803-4449-9","10.1109/NAECON.1998.710218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=710218","","Formal verification;Weapons;Hardware;Costs;US Department of Defense;Software systems;Contracts;Laboratories;Aircraft propulsion;Military aircraft","","","","4","IEEE","6 Aug 2002","17-17 July 1998","17-17 July 1998","IEEE","IEEE Conferences"
"Formal requirements analysis of an avionics control system","B. Dutertre; V. Stavridou","Department of Computer Science, Queen Mary and Westfield College, University of London, London, UK; Department of Computer Science, Queen Mary and Westfield College, University of London, London, UK",IEEE Transactions on Software Engineering,"6 Aug 2002","1997","23","5","267","278","The authors report on a formal requirements analysis experiment involving an avionics control system. They describe a method for specifying and verifying real-time systems with PVS. The experiment involves the formalization of the functional and safety requirements of the avionics system as well as its multilevel verification. First level verification demonstrates the consistency of the specifications whilst the second level shows that certain system safety properties are satisfied by the specification. They critically analyze methodological issues of large scale verification and propose some practical ways of structuring verification activities for optimizing the benefits.","1939-3520","","10.1109/32.588520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=588520","","Aerospace electronics;Control systems;Software safety;Aircraft;Aerospace control;Real time systems;Large-scale systems;Optimization methods;Formal verification;Collaborative work","","35","","28","IEEE","6 Aug 2002","May 1997","","IEEE","IEEE Journals"
"Challenges of Timing Verification Tools in the Automotive Domain","P. Montag; S. Görzig; P. Levi","Department REI SC, DaimlerChrysler AG Research and Technology, Ulm, Germany; Department REI SC, DaimlerChrysler AG Research and Technology, Ulm, Germany; Institute for Parallel and Distributed Systems, University of Stuttgart, Stuttgart, Germany","Second International Symposium on Leveraging Applications of Formal Methods, Verification and Validation (isola 2006)","5 Mar 2008","2006","","","227","232","Every embedded real-time system is inevitably time-restricted. Therefore, worst-case execution times (WCETs) have to be known. The static timing analysis of embedded software promises the calculation of safe upper time bounds. We present the results of a case study which reveal the special challenges of this methodology in the automotive domain. For most of the encountered problems we describe our solutions or propose possible methods for a solution.","","978-0-7695-3071-0","10.1109/ISoLA.2006.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4463717","","Timing;Automotive engineering;Hardware;Software safety;Application software;Aerospace electronics;Software systems;Real time systems;Embedded software;Engines","","11","","15","IEEE","5 Mar 2008","15-19 Nov. 2006","15-19 Nov. 2006","IEEE","IEEE Conferences"
