"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tutorial: A Practical Introduction to Formal Development and Verification of High-Assurance Software with SPARK","B. M. Brosgol; C. Dross; Y. Moy","AdaCore, Lexington, MA, USA; AdaCore, Paris, France; AdaCore, Paris, France",2019 IEEE Cybersecurity Development (SecDev),"18 Nov 2019","2019","","","1","2","Summary form only given, as follows. The complete presentation was not made available for publication as part of the conference proceedings. This hands-on tutorial will show attendees how to use formal methods in developing and verifying high-assurance software. It will cover the benefits and costs of formal methods technology, describe its capabilities and limits, summarize how to adopt formal methods at varying levels depending on assurance requirements, show how to combine formal methods with traditional testing-based techniques, and highlight industrial experience. The SPARK language (a subset of Ada 2012) will be used as the vehicle for explaining formal methods. The techniques presented can be applied to other language technologies, and the tutorial will compare the SPARK and Frama-C approaches. Demonstrations will use the GNATprove toolset, and hands-on exercises will be drawn from the SPARK section of the learn.adacore.com site.","","978-1-5386-7289-1","10.1109/SecDev.2019.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901601","formal methods, high-assurance software, safety critical software, high-security software, software verification, SPARK language","Sparks;Software;Tutorials;Safety;Security;Concurrent computing;Tools","","2","","0","IEEE","18 Nov 2019","23-25 Sept. 2019","23-25 Sept. 2019","IEEE","IEEE Conferences"
"Languages for Safety-Critical Software: Issues and Assessment","B. M. Brosgol","AdaCore, USA",29th International Conference on Software Engineering (ICSE'07 Companion),"4 Jun 2007","2007","","","180","181","Safety-critical systems (whose anomalous behavior could have catastrophic consequences such as loss of human life) are becoming increasingly prevalent; standards such as DO-178B, originally developed for the certification of commercial avionics, are attracting attention in other communities. The requirement to comply with such standards imposes constraints (on quality assurance, traceability, etc.) much beyond what is typical for Commercial-Off-The-Shelf Software. One of the major decisions that affects the development of safety-critical software is the choice of programming language(s). Specific language features, either by their presence of absence, may make certification easier or harder. Indeed, full genera-lpurpose languages are almost always too complex, and restricted subsets are required. This tutorial compares several languages currently in use or under consideration for safety-critical systems --C (and also C++), Ada, and Java -- and assesses them with respect to their suitability to be constrained for use for such purposes. It specifically examines the MISRA C subset, SPARK, and the in-progress effort to develop a safety-critical profile of the Real-Time Specification for Java. The tutorial also identifies the challenges that Object Oriented Programming imposes on safety certification and indicates possible future directions.","","0-7695-2892-9","10.1109/ICSECOMPANION.2007.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4222735","","Software safety;Certification;Java;Humans;Standards development;Aerospace electronics;Software standards;Quality assurance;Software quality;Sparks","","1","","8","IEEE","4 Jun 2007","20-26 May 2007","20-26 May 2007","IEEE","IEEE Conferences"
"Safety-Oriented Evaluation of Embedded C Coding Methodologies for Automotive Software Using MISRA C and ISO 26262 Standards","R. Latif; M. Bellaou; L. Amenzouy; A. Elboudani","Laboratory of Systems Engineering and Information Technology (LISTI) National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco; Laboratory of Systems Engineering and Information Technology (LISTI) National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco; Vector Informatik Engineering, Gothenburg, Sweden; Master SEAI, National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco",2025 International Conference on Electrical Systems & Automation (ICESA),"15 Dec 2025","2025","","","1","5","The growing complexity of automotive systems has led to an increased reliance on embedded software, emphasizing the need for safe, reliable, and maintainable coding practises. This paper presents a comparative evaluation of manual and model-based C code development approaches for automotive systems, focusing on MISRA C and ISO 26262 compliance. The analysis covers two automotive use cases—a Battery Management System and a Wiper Controller—evaluated across safety, maintainability, and traceability metrics. Results demonstrate that standards-compliant manual coding achieved 92.4% ASIL-B coverage with only 3 MISRA violations and 63.6% smaller memory footprint (28.7KB vs 78.9KB) compared to model-based approaches, while maintaining competitive fault detection rates (89.2% vs 95.8%). Although model-based methods reached slightly higher coverage (97.1% ASIL-B), they required 3.2× more code (1,742 vs 548 LOC). These findings establish standards-compliant manual coding as a practical alternative to commercial model-based tools while providing a comparative evaluation methodology for safety-critical automotive software development.","","979-8-3315-9733-7","10.1109/ICESA66763.2025.11281351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281351","MISRA C;ISO 26262;Embedded Systems;Automotive Software;Manual Coding;Model-Based Design","Measurement;Codes;ISO Standards;Manuals;Encoding;Software reliability;Safety;Standards;Automotive engineering;Software development management","","","","26","IEEE","15 Dec 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Bakar Alir: Supporting Developers in Construction of Information Flow Contracts in SPARK","H. Thiagarajan; J. Hatcliff; J. Belt; Robby","Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA; Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA; Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA; Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA",2012 IEEE 12th International Working Conference on Source Code Analysis and Manipulation,"24 Dec 2012","2012","","","132","137","This tool paper describes the design and implementation of an interactive environment for discovering and browsing information flow in SPARK programs. SPARK is a subset of Ada that has been used in a number of industrial contexts for implementing certified safety and security critical systems. SPARK requires explicit specification of information flow properties in the form of procedure contracts. To write such contracts, developers need to understand the data and control dependencies in the program. Our tool Bakar Alir, implemented as an Eclipse Plug-in, utilizes classic slicing and chopping techniques to assist developers in writing information flow contracts.","","978-0-7695-4783-1","10.1109/SCAM.2012.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392111","slicing;chopping;spark;IDE support","Sparks;Contracts;Abstracts;Software;Input variables;Security","","6","","12","IEEE","24 Dec 2012","23-24 Sept. 2012","23-24 Sept. 2012","IEEE","IEEE Conferences"
"Comparative Analysis of the Code Generated by Popular Large Language Models (LLMs) for MISRA C++ Compliance","M. M. Umer","College of Computing, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Access,"20 Nov 2025","2025","13","","194815","194831","Safety-critical systems are engineered systems whose failure or malfunction could result in catastrophic consequences. The software development for safety-critical systems necessitates rigorous engineering practices and adherence to certification standards like DO-178C for avionics. DO-178C is a guidance document which requires compliance to well-defined software coding standards like MISRA C++ to enforce coding guidelines that prevent the use of ambiguous, unsafe, or undefined constructs. Large Language Models (LLMs) have demonstrated significant capabilities in automatic code generation across a wide range of programming languages, including C++. Despite their impressive performance, code generated by LLMs in safety-critical domains must be carefully analyzed for conformance to MISRA C++ coding standards. In this paper, I have conducted a comparative analysis of the C++ code generated by popular LLMs including: OpenAI ChatGPT, Google Gemini, DeepSeek, Meta AI, and Microsoft Copilot for compliance with MISRA C++. The study revealed that none of the evaluated LLMs generated MISRA-compliant code despite clear prompts, with DeepSeek showing the fewest violations and Meta AI the most. While all models could correct individual violations when explicitly instructed, only ChatGPT consistently identified and resolved all targeted rule violations across complete code snippets, whereas others achieved partial success. Overall, LLMs show promise as aids for initial code generation, but they are not yet dependable for producing fully MISRA-compliant code required in safety-critical domains.","2169-3536","","10.1109/ACCESS.2025.3633086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11248817","MISRA C++;safety-critical systems;automated code generation;large language models (LLMs)","Codes;C++ languages;Standards;Chatbots;Software;Source coding;Internet;Static analysis;Software development management;Large language models","","","","22","CCBY","14 Nov 2025","2025","","IEEE","IEEE Journals"
"From Formal Specification to Verified Implementation","A. B. Hocking; B. L. Di Vito; J. C. Rowanhill","Dependable Computing, Charlottesville, VA, USA; Dependable Computing, Charlottesville, VA, USA; Dependable Computing, Charlottesville, VA, USA",2024 AIAA DATC/IEEE 43rd Digital Avionics Systems Conference (DASC),"15 Nov 2024","2024","","","1","5","With increasingly complex algorithms used in autonomous systems, ensuring the safety, security, and correctness of software is paramount. We present a process for developing high-quality software, encompassing formal specification, implementation, and verification processes. Our approach focuses on developing high-assurance systems using PVS for formal specification, SPARK Ada for implementation, and the SPARK Pro toolset for formal verification, augmented by FAN (Friendly Argument Notation) arguments. This methodology is demonstrated through a detailed case study involving the design and verification of a polygon merge algorithm for OpenUxAS. In our case study, we define and prove critical properties of the algorithm, such as the preservation of all input points in the output and the containment of output points within the original polygons or generated holes. The formal specification has been added to the NASA PVS library, expanding the formalized knowledge about polygons. This integrated approach offers a higher level of assurance than conventional methods, addressing the limitations of traditional testing and debugging practices. By combining PVS, SPARK Ada, and FAN, we streamline the verification process while maintaining correctness assurance, contributing to the advancement of software development practices for safety-critical and autonomous systems.","2155-7209","979-8-3503-4961-0","10.1109/DASC62030.2024.10749035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749035","formal specification;formal verification;high-assurance software","Fans;Autonomous systems;Software algorithms;Software;Software reliability;Formal specifications;Sparks;Security;Testing;Software development management","","","","4","IEEE","15 Nov 2024","29 Sept.-3 Oct. 2024","29 Sept.-3 Oct. 2024","IEEE","IEEE Conferences"
"High-Integrity Multitasking in SPARK: Static Detection of Data Races and Locking Cycles","S. T. Taft; F. Schanda; Y. Moy","AdaCore, Lexington, MA, USA; Altran UK Limited, Bath, UK; AdaCore, Paris, France",2016 IEEE 17th International Symposium on High Assurance Systems Engineering (HASE),"3 Mar 2016","2016","","","238","239","SPARK is a subset of Ada designed to enable formal verification. A new release of SPARK 2014, based on the Ada 2012 standard, incorporates support for multitasking, based on the Ravenscar Profile, which subsets the full Ada tasking model to a relatively static, single-level tasking model. This paper describes the safety requirements relating to multitasking in this version of SPARK, and the corresponding static checks performed by the SPARK 2014 toolset.","1530-2059","978-1-4673-9913-5","10.1109/HASE.2016.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7423158","formal verification;multitasking","Sparks;Multitasking;Safety;System recovery;Standards;Synchronization;Electronic mail","","3","","9","IEEE","3 Mar 2016","7-9 Jan. 2016","7-9 Jan. 2016","IEEE","IEEE Conferences"
"Modeling and Verifying Spark on YARN Using Process Algebra","J. Yin; H. Zhu; Y. Fei; Y. Fang","Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China",2019 IEEE 19th International Symposium on High Assurance Systems Engineering (HASE),"25 Mar 2019","2019","","","208","215","As a programming model, Spark is popularly and widely used in processing and generating large cluster of data sets distributed on large amounts of machines. With its widespread use, its validity and other major properties need to be analyzed in a formal framework. And unfortunately, there is nearly no research conducted to describe the interactions in Spark on YARN. In this paper, we focus on the dominant parts of Spark on YARN and formalize them using Communicating Sequential Processes (CSP) in detail. In the formal model, the processing and function of each component are clearly described. By feeding the models into the model checker Failures Divergence Refinement (FDR), we have verified some crucial properties, including Deadlock Freedom, Divergence Freedom, Robustness and LoadBalancing. Our work demonstrates that Spark on YARN can guarantee important properties in some applications.","2640-7507","978-1-5386-8540-2","10.1109/HASE.2019.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673062","Spark on YARN, CSP, FDR, Modeling, Verification","Sparks;Yarn;Containers;Computational modeling;System recovery;Predictive models","","2","","13","IEEE","25 Mar 2019","3-5 Jan. 2019","3-5 Jan. 2019","IEEE","IEEE Conferences"
"Incremental development of a high integrity compiler: experience from an industrial development","S. Stepney","Logica UK Limited, Cambridge, UK",Proceedings Third IEEE International High-Assurance Systems Engineering Symposium (Cat. No.98EX231),"6 Aug 2002","1998","","","142","149","We have developed and successfully applied a technique to build a high integrity compiler from Pasp, a Pascal-like language, to ASP, the target language for a high integrity processor designed for the UK's Atomic Weapons Establishment at Aldermaston. We overview the technique itself, including a description of how it can be extended to separate compilation. We also describe some of our experiences whilst implementing this compiler, how successful the whole process has been, and the lessons we have learned. We have cost effectively developed a compiler to high integrity by using mathematical specification and proof techniques.","","0-8186-9221-9","10.1109/HASE.1998.731606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=731606","","Application specific processors;Process design;Weapons;Safety;Defense industry;High level languages;Sparks;Prototypes;Design engineering;Testing","","5","","9","IEEE","6 Aug 2002","13-14 Nov. 1998","13-14 Nov. 1998","IEEE","IEEE Conferences"
"Evaluation of Software Vulnerabilities in Vehicle Electronic Control Units","J. Edwards; A. Kashani; G. Iyer","Electronics Platform R&D, DENSO International America Inc.; Electronics Platform R&D, DENSO International America Inc.; Electronics Platform R&D, DENSO International America Inc.",2017 IEEE Cybersecurity Development (SecDev),"23 Oct 2017","2017","","","83","84","Automotive electronic control units (ECUs) have been the focus of many security researchers who have demonstrated the ability to affect the deterministic operation of safety critical vehicle cyber physical systems. Flaws in software design that have direct impacts to the functional safety of a target vehicle have been discovered. The rapid increase in data connectivity within a modern automobile has broadened the attack surface, allowing adversaries remote access to in-vehicle networks and control system software. This abstract discusses the results of static code analysis performed on automotive production software source code using reference coding standards such as MISRA and CERT C secure coding guidelines, in an attempt to identify the most critical software bugs which are likely to remain in the vehicle, undetected, as zero-day security vulnerabilities.","","978-1-5386-3467-7","10.1109/SecDev.2017.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8077811","Automotive;Cybersecurity;Static Code Analysis;Software Vulnerabilities;CWE;CVE;MISRA;CERT C;Electronic Control Units","Software;Security;Automotive engineering;Encoding;Standards;Metals;Computer bugs","","13","1","15","IEEE","23 Oct 2017","24-26 Sept. 2017","24-26 Sept. 2017","IEEE","IEEE Conferences"
