"title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Worst-Case Execution Time Based Optimization of Real-Time Java Programs","S. Hepp; M. Schoeberl","Institute of Computer Languages, Technical University of of Vienna, Austria; Department of Informatics and Mathematical Modeling, Technical University of Denmark, Denmark",2012 IEEE 15th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,"7 May 2012","2012","","","64","70","Standard compilers optimize execution time for the average case. However, in hard real-time systems the worst-case execution time (WCET) is of primary importance. Therefore, a compiler for real-time systems shall include optimizations that aim to minimize the WCET. One effective compiler optimization is method in lining. It is especially important for languages, like Java, where small setter and getter methods are considered good programming style. In this paper we present and explore WCET driven in lining of Java methods. We use the WCET analysis tool for the Java processor JOP to guide to optimization along the worst-case path. The tool JCopter is integrated with the WCET analysis tool and is used to explore different in lining strategies. On real-time benchmarks the optimization results in a reduction of the WCET by a few percent up to a factor of about 2.","2375-5261","978-0-7695-4643-8","10.1109/ISORC.2012.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6195862","","Java;Optimization;Benchmark testing;Real time systems;Algorithm design and analysis;Timing;Estimation","","4","","24","IEEE","7 May 2012","11-13 April 2012","11-13 April 2012","IEEE","IEEE Conferences"
"Optimizing object reference checks on real-time Java virtual machine","W. Feng; X. Shi; H. Yu","School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China",2015 6th IEEE International Conference on Software Engineering and Service Science (ICSESS),"30 Nov 2015","2015","","","77","80","Thanks to Real-Time Specification for Java (RTSJ), Java now can be applied in real-time systems. However, in RTSJ's memory management system, assignment rules which aimed to prevent the creation of dangling references must be checked by real-time Java virtual machines (JVMs) at runtime. These frequent runtime object reference checks lead to additional time overhead and unpredictable running time, which has great impact on real-time systems. This paper presents an equivalence class based, context sensitive and flow insensitive escape analysis algorithm which could eliminate unnecessary runtime reference checkpoints. This optimization framework has been implemented in an open-source real-time JVM jRate 0.3.7.2-3.3.3 and evaluated by CDx, a relative authority real-time Java benchmark suite. The results show that this optimization algorithm eliminates 94.92% static reference checkpoints, on average removes 42.28%~54.44% runtime reference checkpoints, and improves the runtime performance of average 3.13%, max 8.93%.","2327-0594","978-1-4799-8353-7","10.1109/ICSESS.2015.7339009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7339009","Escape analysis;object reference check;real-time Java virtual machine;RTSJ","Real-time systems;Java;Runtime;Optimization;Algorithm design and analysis;Memory management;Virtual machining","","","","25","IEEE","30 Nov 2015","23-25 Sept. 2015","23-25 Sept. 2015","IEEE","IEEE Conferences"
"Fast, Interactive Worst-Case Execution Time Analysis With Back-Annotation","T. Harmon; M. Schoeberl; R. Kirner; R. Klefstad; K. H. Kim; M. R. Lowry","Intel Corporation, Santa Clara, CA, USA; DTU Informatics, Lyngby, Denmark; University of Hertfordshire, Hatfield, Hertfordshire, UK; University of California Riverside, Riverside, CA, USA; University of California, Irvine, Irvine, CA, USA; NASA Ames Research Center, Moffett Field, CA, USA",IEEE Transactions on Industrial Informatics,"9 Apr 2012","2012","8","2","366","377","For hard real-time systems, static code analysis is needed to derive a safe bound on the worst-case execution time (WCET). Virtually all prior work has focused on the accuracy of WCET analysis without regard to the speed of analysis. The resulting algorithms are often too slow to be integrated into the development cycle, requiring WCET analysis to be postponed until a final verification phase. In this paper, we propose interactive WCET analysis as a new method to provide near-instantaneous WCET feedback to the developer during software programming. We show that interactive WCET analysis is feasible using tree-based WCET calculation. The feedback is realized with a plugin for the Java editor jEdit, where the WCET values are back-annotated to the Java source at the statement level. Comparison of this tree-based approach with the implicit path enumeration technique (IPET) shows that tree-based analysis scales better with respect to program size and gives similar WCET values.","1941-0050","","10.1109/TII.2012.2187457","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6151137","Performance analysis;real-time systems;safety;software algorithms;software performance;software reliability","Program processors;Java;Real time systems;Timing;Algorithm design and analysis","","13","","59","IEEE","10 Feb 2012","May 2012","","IEEE","IEEE Journals"
"Cache locking optimization in java virtual machine","Chuanwen Lin; Naijie Gu; Songsong Cai","School of Computer Science and Technology, USTC&SICT Network and Communication Joint Laboratory, Hefei, China; School of Computer Science and Technology, USTC&SICT Network and Communication Joint Laboratory, Hefei, China; Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China",IEEE Conference Anthology,"10 Apr 2014","2013","","","1","4","Cache plays an important role in multilevel storage system. It can greatly reduce the memory access latency. So the cache hit rate has a significant impact on the performance of the application. Many processors provide cache locking mechanism, which can lock the certain lines in cache. It enables an application to affect the cache replacement decisions under software control. This paper presents a novel method, which uses cache locking mechanism to reduce the run-time of java virtual machine (JVM). JVM often uses just-in-time compiler (JIT) to improve the performance. JIT compiles the method that has been invoked certain times, and then JVM executes the compiled method when invoking this method the next time. This paper analyzes the calling situation of the compiled method in JVM, and then proposes a heuristic approach to lock the compiled method in cache for an appropriate period. It can reduce cache miss rate when JVM executes the compiled method. The algorithm has been implemented in HotSpot based on Loongson-3A. Also, it can be implemented in other run-time systems. Experiment results show that the cache locking heuristic algorithm averagely reduces the cache miss rate by 8.5%, and improves the performance by 4% on the benchmark SPECjvm2008.","","978-1-4799-1660-3","10.1109/ANTHOLOGY.2013.6784761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6784761","java virtual machine;cache;cache locking;just-in-time compiler","Real-time systems;Java;Program processors;Optimization;Virtual machining;Heuristic algorithms;Benchmark testing","","","","8","IEEE","10 Apr 2014","1-8 Jan. 2013","1-8 Jan. 2013","IEEE","IEEE Conferences"
"A case study of hybrid WCET analysis for Xen virtulization","L. Wu; W. Zhang","Department of Electrical and Computer Engineering, Virginia Commonwealth University, Richmond, VA, USA; Department of Electrical and Computer Engineering, Virginia Commonwealth University, Richmond, VA, USA",2013 Proceedings of IEEE Southeastcon,"25 Jul 2013","2013","","","1","6","Virtualization technologies have become a new trend in embedded real-time systems. However, due to the extra layers introduced by virtualization, the worst-case execution time (WCET) analysis for the real-time tasks becomes more complicated as compared to systems that without virtualization. In this paper, we study the timing characteristics of virtualization system and propose a hybrid timing analysis method for the para-virtualization X86 platform with Xen [17], which provides a simple and fast WCET analysis solution to the target system. Our experiments indicate that the proposed hybrid timing analysis method can provide safe upperbound for real-time programs running on Xen [17], with an average of 17% overestimation as compared to the worst-case observed execution time.","1558-058X","978-1-4799-0053-4","10.1109/SECON.2013.6567366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6567366","","Virtualization;Real-time systems;Delays;Virtual machining;Virtual machine monitors;Hardware","","","","28","IEEE","25 Jul 2013","4-7 April 2013","4-7 April 2013","IEEE","IEEE Conferences"
"Wcet Predictable Exception Mechanism for Real-Time Java Platform","G. Zhen-Hua; Y. Fan; C. Zhi-Lei","School of Internet of Things Engineering, Jiangnan University, Wuxi, China; School of Internet of Things Engineering, Jiangnan University, Wuxi, China; School of Internet of Things Engineering, Jiangnan University, Wuxi, China",2012 International Conference on Industrial Control and Electronics Engineering,"4 Oct 2012","2012","","","1713","1716","In order to solve the effects of the time indeterminacy which was caused by the exception thrown and handled of the JVM on the real-time Java platform, the Class Convertor generates an image file in which the exception table is stored in like-linear structure, and which give the class index and superclass index of an exception object directly. When an exception is thrown, exception tables are traversed in linear order to find the match item and get the pointer value where the program will jump to continue. The match time presents a linear change according to the number of exception tables and can be predicted with the number and the location where the match item is in the structure.","","978-1-4673-1450-3","10.1109/ICICEE.2012.453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6322743","Java;JVM;JPOR-32;Exception handling;Except table","Java;Real-time systems;Educational institutions;Converters;Indexes;Internet;Monitoring","","","","7","IEEE","4 Oct 2012","23-25 Aug. 2012","23-25 Aug. 2012","IEEE","IEEE Conferences"
"Adaptive Distributed Embedded and Real-Time Java Systems Based on RTSJ","M. T. Higuera-Toledano","DACYA, Universidad Complutense de Madrid, Madrid, Spain",2012 IEEE 15th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing Workshops,"10 May 2012","2012","","","164","171","Java is a programming technology which has been extended in order to provide the timeliness required by real-time systems (e.g., RTSJ). There are two RTSJ-based profiles: DRTSJ supporting distributed real-time Java systems and SCJS supporting the development of programs that must be certified. However neither of them considers dynamics characteristics allowing the system to be adapted to the changing environment. Distributed safety-critical systems that must provide continuous service (e.g., air-traffic control systems or enterprise and financial applications) require dynamic updates. Dynamic software modification is a useful capability because the application is able to update itself to fix bugs and add new features without requiring a stop and a restart. In this paper, we overview Java solutions considering real-time requirements in service-oriented component models allowing dynamics updates (e.g., OSGi).","","978-0-7695-4669-8","10.1109/ISORCW.2012.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6196118","Real-time;Java;adaptive systems;components;software engineering","Real time systems;Java;Software;Memory management;Resource management;Servers","","2","","33","IEEE","10 May 2012","11-11 April 2012","11-11 April 2012","IEEE","IEEE Conferences"
"A real-time surveillance mini-rover based on OpenCV-Python-JAVA using Raspberry Pi 2","N. Hossain; M. T. Kabir; T. R. Rahman; M. S. Hossen; F. Salauddin","Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh","2015 IEEE International Conference on Control System, Computing and Engineering (ICCSCE)","2 Jun 2016","2015","","","476","481","Real-time surveillance is a vital component in any situation or environment where there is a high need of security for both personal and commercial property and assets. Technology today is used in many different ways in order to provide us such surveillance. An ideal solution for surveillance involves not only the assortment of necessary sensors and devices using appropriate tools, but also should be provided in the most optimized way for obtaining feed and data while keeping the expenditure minimized. In our project, we aimed at developing a low-cost, real-time video surveillance mini-rover which will be capable of providing real-time video footage and roam around in the area which we want to observe. Our target was to use hardware which is very low of cost and easily available.","","978-1-4799-8252-3","10.1109/ICCSCE.2015.7482232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7482232","Mini-rover;Video Surveillance;Real-time;Networking;OpenCV;Python;JAVA;Raspberry Pi 2","Surveillance;Hardware;IEEE 802.11 Standard;Universal Serial Bus;Servers;Internet;DC motors","","6","","7","IEEE","2 Jun 2016","27-29 Nov. 2015","27-29 Nov. 2015","IEEE","IEEE Conferences"
"A real-time communication platform based on processor separation and virtual machine technology","T. Yongchao; W. Xianghu; Q. Mingcheng; L. Zhiqiang; C. Gang","HIT, Haerbin Institute of Technology, Haerbin, China; HIT, Haerbin Institute of Technology, Haerbin, China; HIT, Haerbin Institute of Technology, Haerbin, China; HIT, Haerbin Institute of Technology, Haerbin, China; HIT, Haerbin Institute of Technology, Haerbin, China","2013 2nd International Symposium on Instrumentation and Measurement, Sensor Network and Automation (IMSNA)","27 Feb 2014","2013","","","130","133","Windows Operating System is currently the most widely used, which is a non-real-time operating system. It can't be used to provide a real-time communication environment for applications. However, for some distributed system, real-time data communication is essential. Considering these constraints and requirements, this paper proposes a real-time communication solution based on processor separation and virtual machine technology. This solution can well meet the requirements of real-time communication for the distributed systems built by Windows, TCP/IP stack and Ethernet.","","978-1-4799-2716-6","10.1109/IMSNA.2013.6743233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6743233","processor separation;virtual machine technology;real-time communication;distributed system","Real-time systems;Protocols;Synchronization;Virtual machining;Operating systems;Clocks","","1","1","5","IEEE","27 Feb 2014","23-24 Dec. 2013","23-24 Dec. 2013","IEEE","IEEE Conferences"
"A Distributed Real-Time Java-Centric Architecture for Industrial Systems","P. Basanta-Val; M. García-Valls","Departarmento de Ingeniería de Telemática, Universidad Carlos III de Madrid, Leganés, Madrid; Departarmento de Ingeniería de Telemática, Universidad Carlos III de Madrid, Leganés, Madrid",IEEE Transactions on Industrial Informatics,"12 Dec 2013","2014","10","1","27","34","There is a trend in industrial systems towards the use of common-off-the-shelf (COTS) components to develop applications that interact with open systems. This trend includes among others the use of high-level languages, such as Java, and Internet protocols (HTTP and Web Services). Although many industrial systems use these technologies at their business layers, they are far from offering a homogeneous programming platform in their most internal infrastructures. This paper extends the current practice by introducing a real-time Java-centric architecture for industrial systems. The architecture integrates existing and upcoming technology to define a Java-based approach. The empirical evidence, included in the paper, illustrates the performance of the core of the industrial layer of this architecture.","1941-0050","","10.1109/TII.2013.2246172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6461099","Computer architecture;distributed real-time specification for Java (DRTSJ);middleware;real-time specification for Java (RTSJ)","Real-time systems;Java;Business;Computer architecture;Servers;Sensors;Production facilities","","23","","42","IEEE","12 Feb 2013","Feb. 2014","","IEEE","IEEE Journals"
