"title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Worst case execution time analysis of object-oriented programs","J. Gustafsson","Department of Computer Engineering, Mälardalen University, Vasteras, Sweden",Proceedings of the Seventh IEEE International Workshop on Object-Oriented Real-Time Dependable Systems. (WORDS 2002),"7 Aug 2002","2002","","","71","76","Object-oriented programming languages are extensively used in real-time systems. However, calculating the Worst Case Execution Time (WCET) for object-oriented programs poses additional challenges as compared to imperative programming languages. This paper describes these additional problems and how they have been tackled in the research community. The paper also gives an overview of state-of-the-art in WCET calculation for object-oriented programs. We show that, in spite of the usefulness of WCET tools for object oriented languages, there are only a few available.","1530-1443","0-7695-1576-2","10.1109/WORDS.2002.1000038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000038","","Computer aided software engineering;Real time systems;Hardware;Timing;Computer languages;Object oriented programming;Control systems;Programming profession;Optimizing compilers;Pipelines","","1","","33","IEEE","7 Aug 2002","9-9 Jan. 2002","9-9 Jan. 2002","IEEE","IEEE Conferences"
"An effective instruction optimization method for embedded real-time Java processor","Chai Zhi Lei; Tang Zhi Qiang; Wang Li Ming; Tu Shi Liang","Fudan University, Shanghai, Shanghai, CN; Fudan University, Shanghai, Shanghai, CN; Fudan University, Shanghai, Shanghai, CN; Dept. of Comput. Sci. & Eng., Fudan Univ., Shanghai, China",2005 International Conference on Parallel Processing Workshops (ICPPW'05),"1 Aug 2005","2005","","","225","231","A method to optimize instructions in embedded real-time Java processors is proposed. It can reduce the CPI (cycles per instruction) and simplify the implementation of complex instructions, as well as make the WCET (worst case execution time) of the optimized instructions more predictable. Because this method optimizes instruction itself it can be used together with other architectural optimization methods such as pipeline or out-of-order execution etc.","2332-5690","0-7695-2381-1","10.1109/ICPPW.2005.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1488699","Java Processor;Embedded Real-time Java Processor;Instruction Optimization;WCET (Worst Case Execution Time)","Optimization methods;Java;Real time systems;Operating systems;Embedded system;Virtual machining;Hardware;Pipelines;Out of order;Computer science","","6","1","14","IEEE","1 Aug 2005","14-17 June 2005","14-17 June 2005","IEEE","IEEE Conferences"
"Portable worst-case execution time analysis using Java Byte Code","G. Bernat; A. Burns; A. Wellings","Real-Time Systems Research Group.Department of Computer Science, University of York, York, UK; Real-Time Systems Research Group.Department of Computer Science, University of York, York, UK; Real-Time Systems Research Group.Department of Computer Science, University of York, York, UK",Proceedings 12th Euromicro Conference on Real-Time Systems. Euromicro RTS 2000,"6 Aug 2002","2000","","","81","88","Addresses the problem of performing worst-case execution time (WCET) analysis of Java Byte Code (JBC), which may be generated from different compilers and from different source languages. The motivation for the framework presented is to provide WCET analysis which is portable and therefore more likely to be used in an industrial context. Two issues are addressed in this paper: how to extract data flow and control flow information from JBC programs, and how to provide a compiler-/language-independent mechanism to introduce WCET annotations in the source code. We show that an annotation mechanism based on calls to a static class with empty methods result in similar code when generated by Java or Ada compilers.","1068-3070","0-7695-0734-4","10.1109/EMRTS.2000.853995","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=853995","","Java;Timing;Performance analysis;Job shop scheduling;Production;Real time systems;Computer science;Electronic switching systems;Data mining;Program processors","","35","1","13","IEEE","6 Aug 2002","19-21 June 2000","19-21 June 2000","IEEE","IEEE Conferences"
"Java virtual-machine support for portable worst-case execution-time analysis","L. Bate; G. Bernat; P. Puschner","Department of Computer Science, University of York, York, UK; Department of Computer Science, University of York, York, UK; Institut für Technische Informatik, Technische Universität Wien, Vienna, Austria",Proceedings Fifth IEEE International Symposium on Object-Oriented Real-Time Distributed Computing. ISIRC 2002,"7 Aug 2002","2002","","","83","90","The current trend towards the usage of Java in real-time, supported by two specifications (Real-Time Java and Real-Time Core extensions for the Java platform) requires adequate schedulability analysis, and consequently, worst case execution time (WCET) analysis techniques for the Java platform. This paper proposes a framework for providing portable WCET analysis for the Java platform. Portability means that the analysis is language and hardware independent. It is achieved by, separating the WCET analysis process in three stages and by analysing the Java byte code, not the high-level source code, thus enabling the analysis of programs written in other languages (such as Ada and compiled for the Java virtual machine). The three stages are: a Java virtual machine platform dependent (low-level) analysis, a software dependent (high-level) analysis and an on-line integration step.","","0-7695-1558-4","10.1109/ISORC.2002.1003664","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1003664","","Java;Timing;Testing;Virtual machining;Virtual manufacturing;Computer science;Real time systems;Processor scheduling;Hardware;Optimizing compilers","","12","","9","IEEE","7 Aug 2002","29 April-1 May 2002","29 April-1 May 2002","IEEE","IEEE Conferences"
"Low-level analysis of a portable Java byte code WCET analysis framework","I. Bate; G. Bernat; G. Murphy; P. Puschner","Department of Computer Science, University of York, York, UK; Department of Computer Science, University of York, York, UK; Department of Computer Science, University of York, York, UK; Institut für Technische Informatik, Technische Universität Wien, Wien, Austria",Proceedings Seventh International Conference on Real-Time Computing Systems and Applications,"6 Aug 2002","2000","","","39","46","To support portability, worst-case execution time (WCET) analysis of Java byte code is performed at two levels - machine-independent program flow analysis at a higher level and machine-dependent timing analysis of individual program constructs at a lower level. This paper contributes a WCET analysis that computes worst-case execution frequencies of Java byte codes within the software being analysed and accounts for platform-dependent information, i.e. the processor's pipeline. The main part of the approach is platform-independent; only a limited analysis is needed on a per-platform basis.","1530-1427","0-7695-0930-4","10.1109/RTCSA.2000.896369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=896369","","Java;Timing;Pipelines;Hardware;Information analysis;Computer science;Frequency;Computer languages;Contracts;Availability","","24","","11","IEEE","6 Aug 2002","12-14 Dec. 2000","12-14 Dec. 2000","IEEE","IEEE Conferences"
"Real-time objects on the bare metal: an efficient hardware realization of the Java/sup TM/ Virtual Machine","D. S. Hardin","AJile Systems, Inc.",Fourth IEEE International Symposium on Object-Oriented Real-Time Distributed Computing. ISORC 2001,"7 Aug 2002","2001","","","53","59","Combining the design-time efficiency of object oriented development with the runtime efficiency of direct hardware support for object oriented execution, aJile Systems has developed a low-power hardware implementation of the Java Virtual Machine for real time and embedded applications. AJile's hardware provides direct support for the entire JVM instruction set and thread model, obviating the need for a Java interpreter or Just-in-Time (JIT) compiler, as well as the traditional Real-Time Operating System (RTOS). AJile's hardware technology also supports multiple JVM contexts executing on the same CPU, enhancing safety and security by guaranteeing space and time allotments for multiple Java applications. Combined with a Java 2 Micro Edition (J2ME) runtime and a back-end target build tool, these technologies constitute an efficient platform for the development of real time embedded applications entirely in Java.","","0-7695-1089-2","10.1109/ISORC.2001.922817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=922817","","Hardware;Java;Space technology;Runtime;Real time systems;Virtual machining;Yarn;Object oriented modeling;Operating systems;Safety","","31","2","8","IEEE","7 Aug 2002","2-4 May 2001","2-4 May 2001","IEEE","IEEE Conferences"
"Enabling deadline scheduling for Java real-time computing","C. Lizzi","Laboratoire CEDRIC, CNAM, Paris, France",Proceedings 20th IEEE Real-Time Systems Symposium (Cat. No.99CB37054),"6 Aug 2002","1999","","","152","153","We present a scheduling architecture that enables the implementation of deadline based scheduling policies. The architecture is used to give real time capabilities to a custom Java virtual machine. This framework retains a clear separation between generic kernel mechanisms and upper level scheduling classes. A pure earliest deadline first algorithm can be implemented, but enhanced policies such as D/sup over/ or Robust EDF are also supported. We present our architecture, its implementation in the ChorusOS microkernel and its use by the Java virtual machine.","1052-8725","0-7695-0475-2","10.1109/REAL.1999.818837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=818837","","Processor scheduling;Java;Kernel;Scheduling algorithm;Switches;Ear;Process control;Manufacturing automation;Dynamic scheduling;Heuristic algorithms","","3","","6","IEEE","6 Aug 2002","1-3 Dec. 1999","1-3 Dec. 1999","IEEE","IEEE Conferences"
"Real-time Java virtual machine for information appliances","Young-Min Lee; Byung-Chul Tak; Hye-Seon Maeng; Shin-Dug Kim","Parallel Processing Laboratory, Department of Computer Science, Yonsei University, Seoul, South Korea; Parallel Processing Laboratory, Department of Computer Science, Yonsei University, Seoul, South Korea; Parallel Processing Laboratory, Department of Computer Science, Yonsei University, Seoul, South Korea; Parallel Processing Laboratory, Department of Computer Science, Yonsei University, Seoul, South Korea",IEEE Transactions on Consumer Electronics,"6 Aug 2002","2000","46","4","949","957","In general, embedded systems have limited memory spaces and their applications require real-time performance. The Java virtual machine for embedded information appliances should be designed with consideration of these restrictions. This paper presents appropriate modifications and methods to reshape the genetic Java virtual machine to a real-time Java virtual machine for embedded information appliances that run reasonably well under harsh conditions of the embedded systems and also meets the requirements of real-time performance.","1558-4127","","10.1109/30.920445","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920445","","Java;Virtual machining;Home appliances;Embedded system;Real time systems;Switches;Internet;Microprocessors;Personal digital assistants;High level languages","","3","1","9","IEEE","6 Aug 2002","Nov. 2000","","IEEE","IEEE Journals"
"HIDOORS - a high integrity distributed deterministic Java environment","J. Ventura; F. Siebert; A. Walter; J. Hunt","Skysoft Portugal, Portugal; Aicas GmbH, Germany; Aicas GmbH, Germany; Forschungszentrum Informatik, Germany",Proceedings of the Seventh IEEE International Workshop on Object-Oriented Real-Time Dependable Systems. (WORDS 2002),"7 Aug 2002","2002","","","113","118","This paper presents the design of HIDOORS, an integrated development environment suitable for embedded distributed real-time systems, based on the Java programming language. HIDOORS will cover all the life-cycle of real-time software development with extensions to existing tools (UML modeling, Java compiler Java Virtual Machine, and a worst case execution time analysis tool) that will all be integrated into a single integrated development environment. The system will also assist the developer in distributing the application, by providing faster RMI and a distributed event manager that provides strict timing guarantees. This paper is written at the beginning of HIDOORS development, and as such, it presents only, the defined objectives and the early, architecture of the system; further developments will be the Subject of future works.","1530-1443","0-7695-1576-2","10.1109/WORDS.2002.1000043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000043","","Java;Real time systems;Application software;Embedded system;Computer languages;Safety;Memory management;Programming;Embedded computing;Electrical equipment industry","","10","","9","IEEE","7 Aug 2002","9-9 Jan. 2002","9-9 Jan. 2002","IEEE","IEEE Conferences"
"Exploring real-time features of Java VM","S. Cavalieri","Faculty of Engineering, Department of Computer and Telecommunications Engineering, Universita Catania, Catania, Italy",IEEE 2002 28th Annual Conference of the Industrial Electronics Society. IECON 02,"20 Mar 2003","2002","3","","2538","2543 vol.3","Object oriented software design is getting more and more common in the field of industrial control. In particular, Java seems extremely versatile for the development of distributed control applications. One of the main requirements of control application is a deterministic execution of the tasks, which generally feature real-time constraints. When Java language has been conceived, a little weight to the real-time requirements of applications has been given. In the last few years the limits to the use of Java for real-time applications has led to the definition of Java Real-Time platform specifications. Real-time capability of a Java virtual machine (VM) depends on a very large number of elements, among which the task scheduling algorithm, the memory management, the garbage collector algorithm and its execution policy. Knowledge of how each single internal mechanism of a Java VM influence its performance is very important to improve its real-time behaviour. This paper must be considered as a first step toward this direction, as its aim is to try to understand how real-time performance of a Java VM may be influenced by each its single component.","","0-7803-7474-6","10.1109/IECON.2002.1185373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1185373","","Java;Virtual manufacturing;Yarn;Industrial control;Computer languages;Software design;Distributed control;Application software;Virtual machining;Scheduling algorithm","","","1","11","IEEE","20 Mar 2003","5-8 Nov. 2002","5-8 Nov. 2002","IEEE","IEEE Conferences"
"Theory versus practice in real-time computing with the Java/sup TM/ platform","W. Foote","EmbeddedJava VM Group, Sun Microsystems, USA",Proceedings 2nd IEEE International Symposium on Object-Oriented Real-Time Distributed Computing (ISORC'99) (Cat. No.99-61702),"6 Aug 2002","1999","","","105","108","The discipline of computer science has always featured a large gap between theory and practice. For example, both the object oriented paradigm and garbage collection techniques go back to at least the 1960s (H. Schorr and W. Waite, 1967; O.J. Dahl and K. Nygard, 1966) but they have only seen widespread commercial acceptance this decade. The Java/sup TM/ programming language has been an important factor leading to the commercial popularization of these techniques. The field of real time computing has suffered from a particularly acute disconnect between theory and practice. Java/sup TM/ technology can be applied to the building of real time systems through a set of standard extensions to the Java/sup TM/ platform. A set of extensions that bring the core benefits of the platform to real time will advance the commercial state of the art. It will help to narrow the gap between theory and practice. The paper explores different aspects of computer systems theory as applied to real time systems. It analyzes whether they are ready to be reduced to practice and standardized.","","0-7695-0207-5","10.1109/ISORC.1999.776358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=776358","","Java;Real time systems;Object oriented programming;Computer science;Hardware;Computer languages;Sun;Virtual manufacturing;Software systems;Art","","1","","11","IEEE","6 Aug 2002","2-5 May 1999","2-5 May 1999","IEEE","IEEE Conferences"
"Research and analysis of garbage collection mechanism for real-time embedded Java","Liu Wei; Chen Zhang-long; Tu Shi-hang","Department of Computer Science and Engineering, Fudan University, Shanghai, China; Department of Computer Science and Engineering, Fudan University, Shanghai, China; Dept. of Comput. Sci. & Eng., Fudan Univ., Shanghai, China",8th International Conference on Computer Supported Cooperative Work in Design,"8 Nov 2004","2004","1","","462","468 Vol.1","Real-time embedded software is mostly written in low level language such as C and assembler. But such systems are hard to test, maintain, and port to other platform. The Java language is entering to the real-time embedded systems because of its robustness, simplicity and portability etc. However, It is very difficult to estimate the worst-case execution time of Java code currently. This is due to dynamic class loading and method calls, especially the automatic garbage collection. The paper has research-ed present solutions for garbage collection, and studied the memory management of the real-time specification of Java (RTSJ). Then the rational solute-on for RTSJ is to adapt incremental garbage collection and the region memory management.","","0-7803-7941-1","10.1109/CACWD.2004.1349067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1349067","","Java;Memory management;Embedded software;Embedded system;Application software;Costs;Central Processing Unit;Object oriented programming;Computer science;Maintenance engineering","","2","","17","IEEE","8 Nov 2004","26-28 May 2004","26-28 May 2004","IEEE","IEEE Conferences"
"A real-time Java server for Real-Time Mach","A. Miyoshi; H. Tokuda","Keio Research Institute at SFC, Keio University, Fujisawa, Kanagawa, Japan; Faculty of Environmental Information, Keio University, Fujisawa, Kanagawa, Japan",Proceedings of 5th International Workshop on Parallel and Distributed Real-Time Systems and 3rd Workshop on Object-Oriented Real-Time Systems,"6 Aug 2002","1997","","","319","325","The authors have developed a real-time Java server on the Real-Time Mach microkernel which is suitable for embedded systems and distributed real-time systems. By implementing it as a user-level server on Real-Time Mach, applications such as WWW browsers and embedded applications can both execute Java byte codes. They describe the real-time issues in Java and the architecture of the Java server. The real-time extension of the Java server and Java threads using kernel-level and user-level real-time threads was also evaluated.","","0-8186-8096-2","10.1109/WPDRTS.1997.637998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=637998","","Java;Yarn;Virtual machining;Real time systems;Programming profession;Timing;World Wide Web;Sun;Quality of service;Object oriented programming","","2","10","15","IEEE","6 Aug 2002","3-3 April 1997","3-3 April 1997","IEEE","IEEE Conferences"
