"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Refactoring Real-Time Java Profiles","H. Søndergaard; B. Thomsen; A. P. Ravn; R. R. Hansen; T. Bøgholm","VIA University College, Horsens, Denmark; Department of Computer Science, Aalborg University, Denmark; Department of Computer Science, Aalborg University, Denmark; Department of Computer Science, Aalborg University, Denmark; Department of Computer Science, Aalborg University, Denmark",2011 14th IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,"21 Apr 2011","2011","","","109","116","Just like other software, Java profiles benefits from refactoring when they have been used and have evolved for some time. This paper presents a refactoring of the Real-Time Specification for Java (RTSJ) and the Safety Critical Java (SCJ) profile (JSR-302). It highlights core concepts and makes it a suitable foundation for the proposed levels of SCJ. The ongoing work of specifying the SCJ profile builds on sub classing of RTSJ. This spurred our interest in a refactoring approach. It starts by extracting the common kernel of the specifications in a core package, which defines interfaces only. It is then possible to refactor SCJ with its three levels and RTSJ in such a way that each profile is in a separate package. This refactoring results in cleaner class hierarchies with no superfluous methods, well defined SCJ levels, elimination of SCJ annotations like @SCJAllowed, thus making the profiles easier to comprehend and use for application developers and students.","2375-5261","978-0-7695-4368-0","10.1109/ISORC.2011.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753598","Refactoring;Real-Time Java;RTSJ;Safety Critical Java;profiles","Java;Real time systems;Programming;Proposals;Cloning;Guidelines;Memory management","","4","","15","IEEE","21 Apr 2011","28-31 March 2011","28-31 March 2011","IEEE","IEEE Conferences"
"An Evaluation of Safety-Critical Java on a Java Processor","J. R. Rios; M. Schoeberl","Department of Applied Mathematics and Computer Science, Technical University of Denmark; Department of Applied Mathematics and Computer Science, Technical University of Denmark",2014 IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,"18 Sep 2014","2014","","","276","283","The safety-critical Java (SCJ) specification provides a restricted set of the Java language intended for applications that require certification. In order to test the specification, implementations are emerging and the need to evaluate those implementations in a systematic way is becoming important. In this paper we evaluate our SCJ implementation which is based on the Java Optimized Processor JOP and we measure different performance and timeliness criteria relevant to hard real-time systems. Our implementation targets Level 0 and Level1 of the specification and to test it we use a series of micro benchmarks, an application-based benchmark, and a reduced set of a SCJ technology compatibility kit. We evaluate the accuracy of periods, linear-time memory allocation, aperiodicevent handling, dispatch latency for interrupts, context switch preemption latency, and synchronization.","2375-5261","978-1-4799-4430-9","10.1109/ISORC.2014.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6899160","Real-time systems;Embedded systems;Java;Safety-critical systems;Safety-critical Java;Java processor","Java;Real-time systems;Resource management;Benchmark testing;Memory management;Time measurement;Instruction sets","","1","","24","IEEE","18 Sep 2014","10-12 June 2014","10-12 June 2014","IEEE","IEEE Conferences"
"Towards Model Checking Security of Real Time Java Software","L. Spalazzi; F. Spegni; G. Liva; M. Pinzger","Universita Politecnica delle Marche, Ancona, Marche, IT; Universita Politecnica delle Marche, Ancona, Marche, IT; Software Eng. Res. Group, Alpen Adria Univ., Klagenfurt, Austria; Software Eng. Res. Group, Alpen Adria Univ., Klagenfurt, Austria",2018 International Conference on High Performance Computing & Simulation (HPCS),"1 Nov 2018","2018","","","642","649","More and more software libraries and applications in high-performance computing and distributed systems are coded using the Java programming language. The correctness of such pieces of code w.r.t. a given set of security policies often depends on the correct handling of timing between concurrent or recurrent events. Model-checking has proven to be an effective tool for verifying the correctness of software. In spite of the growing importance of this application area of formal methods, though, no approach exists that targets the problem of verifying the correctness of real-time software w.r.t. timed specifications. The few existing works focus on very different problems, such as schedulability analysis of Java tasks. In this paper we present an approach combining rule-based static analysis together with symbolic execution of Java code to extract networks of timed automata from existing software and then use Uppaal to model-check them against timed specifications. We show through a real-world case study that this approach can be helpful in model-checking security policies of real-time Java software.","","978-1-5386-7879-4","10.1109/HPCS.2018.00106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8514411","","Java;Software;Security;Real-time systems;Automata;Protocols;Computational modeling","","5","","","IEEE","1 Nov 2018","16-20 July 2018","16-20 July 2018","IEEE","IEEE Conferences"
"Virtualizing real-time embedded systems with Java","J. Vitek","Computer Science Department, Purdue University, USA",2011 48th ACM/EDAC/IEEE Design Automation Conference (DAC),"11 Aug 2011","2011","","","906","911","Real-time embedded systems come in all shapes and sizes with vastly different capabilities. They often operate under stringent resource constraints, ranging from space and time to power. Programming them is usually done in low-level system's programming languages close to the hardware. The resulting software is costly and not particularly portable. The Java programming language has been successful in providing a virtualized, high-level, development environment for desktop and server applications. Programming in Java leads to memory-safe code that can be ported straightforwardly across architecture and operating system. This paper surveys the state of the art in Java virtualization for real-time and embedded systems. Technological advances in virtual machines as well as new real-time extensions to the language have brought Java closer to being widely usable for a wide range of embedded problems.","85-644924","978-1-4503-0636-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982011","Real-time Java;object-oriented languages;virtual machines","Java;Real time systems;Instruction sets;Virtual machining;Memory management;Safety","","","","21","","11 Aug 2011","5-9 June 2011","5-9 June 2011","IEEE","IEEE Conferences"
"Experience Report: Verifying MPI Java Programs Using Software Model Checking","M. S. Ayub; W. U. Rehman; J. H. Siddiqui","Department of Computer Science, LUMS School of Science and Engineering, Lahore, Pakistan; University of Saskatchewan, Saskatoon, SK, CA; Department of Computer Science, LUMS School of Science and Engineering, Lahore, Pakistan",2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE),"16 Nov 2017","2017","","","294","304","Parallel and distributed computing have enabled development of much more scalable software. However, developing concurrent software requires the programmer to be aware of nondeterminism, data races, and deadlocks. MPI (message passing interface) is a popular standard for writing message-oriented distributed applications. Some messages in MPI systems can be processed by one of the many machines and in many possible orders. This non-determinism can affect the result of an MPI application. The alternate results may or may not be correct. To verify MPI applications, we need to check all these possible orderings and use an application specific oracle to decide if these orderings give correct output. MPJ Express is an open source Java implementation of the MPI standard. Model checking of MPI Java programs is a challenging task due to their parallel nature. We developed a Java based model of MPJ Express, where processes are modeled as threads, and which can run unmodified MPI Java programs on a single system. This model enabled us to adapt the Java PathFinder explicit state software model checker (JPF) using a custom listener to verify our model running real MPI Java programs. The evaluation of our approach shows that model checking reveals incorrect system behavior that results in very intricate message orderings.","2332-6549","978-1-5386-0941-5","10.1109/ISSRE.2017.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109095","Message Passing Interface in Java (MPJ);Model Checking;Java PathFinder (JPF)","Java;Model checking;Adaptation models;Message systems;Software;Standards;Message passing","","1","","29","IEEE","16 Nov 2017","23-26 Oct. 2017","23-26 Oct. 2017","IEEE","IEEE Conferences"
"A Novel Test Coverage Metric for Safety-Critical Software","D. Mukherjee","Indian Institute of Technology Kharagpur, Kharagpur, India",TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON),"12 Dec 2019","2019","","","486","491","Software is a crucial component of many safety-critical applications, such as nuclear power plant, fly-by-wire application, medical instruments, space applications etc. They need to satisfy safety standards such as safety integrity level (SIL), IEEE series (IEEE 1012, 1074), IEC series (IEC 60880, IEC 62138). A requirement of all these safety standards is thorough testing. Thorough testing is measured using a test coverage metric. However, as we show every existing metric suffers from several shortcomings. In this context, we propose a novel test coverage metric based on dependency of data and control in code of the components for safety-critical software.","2159-3450","978-1-7281-1895-6","10.1109/TENCON.2019.8929387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8929387","Test coverage;White-box testing;System dependence graph (SDG);Java system dependence graph (JSysDG)","Java;Measurement;Safety;Software;Testing;Aerospace electronics;IEC Standards","","","","15","IEEE","12 Dec 2019","17-20 Oct. 2019","17-20 Oct. 2019","IEEE","IEEE Conferences"
"Reusable Libraries for Safety-Critical Java","J. R. Rios; M. Schoeberl","Department of Applied Mathematics and Computer Science, Technical University of Denmark; Department of Applied Mathematics and Computer Science, Technical University of Denmark",2014 IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,"18 Sep 2014","2014","","","188","197","The large collection of Java class libraries is a main factor of the success of Java. However, these libraries assume that a garbage-collected heap is used. Safety-critical Java uses scope-based memory areas instead of a garbage-collected heap. Therefore, the Java class libraries are problematic to use in safety-critical Java. We have identified common programming patterns in the Java class libraries that make them unsuitable for safety-critical Java. We propose ways to improve the libraries to avoid the impact of the identified problematic patterns. We illustrate these changes by implementing a total of five scope-safe classes from commonly used libraries.","2375-5261","978-1-4799-4430-9","10.1109/ISORC.2014.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6899148","Real-time systems;Java;Safety-critical systems;Safety-critical Java","Libraries;Java;Memory management;Arrays;Real-time systems;Resource management;Instruction sets","","","","25","IEEE","18 Sep 2014","10-12 June 2014","10-12 June 2014","IEEE","IEEE Conferences"
"Schedulability Analysis Abstractions for Safety Critical Java","T. Bogholm; B. Thomsen; K. G. Larsen; A. Mycroft","Department Computer Science, University of Aalborg, Aalborg, Denmark; Department Computer Science, University of Aalborg, Aalborg, Denmark; Department Computer Science, University of Aalborg, Aalborg, Denmark; Computer Laboratory, University of Cambridge, Cambridge, UK",2012 IEEE 15th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,"7 May 2012","2012","","","71","78","We present a compositional approach to schedulability analysis of safety-critical Java programs. We introduce a specification language in order to write abstract behavioural specifications regarding task execution-time and use of resources. Schedulability is checked on a model composed of the abstract specifications, possibly before any implementation, and as the specifications are implemented, these implementations can be checked individually. This means that library routines potentially can be separately checked and reused, and individual tasks can be verified according to their specifications without performing the full-system-analysis.","2375-5261","978-0-7695-4643-8","10.1109/ISORC.2012.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6195863","real-time;Java;scj;analysis;model checking","Automata;Java;Analytical models;Real time systems;Clocks;Object oriented modeling;Unified modeling language","","3","","41","IEEE","7 May 2012","11-13 April 2012","11-13 April 2012","IEEE","IEEE Conferences"
"Proposal of a method to support testing for Java programs with UML","T. Katayama; Y. Yabuya","Department of Computer Science and Systems Engineering, University of Miyazaki, Miyazaki, Japan; Department of Computer Science and Systems Engineering, University of Miyazaki, Miyazaki, Japan",12th Asia-Pacific Software Engineering Conference (APSEC'05),"20 Mar 2006","2005","","","8 pp.","","There is an increasing need for effective testing of software for complex safety-critical applications. This paper proposes a supporting method of testing for Java programs by using Unified Modeling Language (UML) in order to improve the reliability of them. The correspondences of source codes in Java and elements of a class diagram, a sequence diagram, and a statechart diagram have been extracted. By using the extracted correspondences as test items in testing, it becomes possible to test effectively the specification of software, the structure of Java programs, the flows of processing of a system, and the flow of transition between states. Moreover, in order to confirm the validity of the proposed method, a prototype tool to support testing for Java programs is implemented. The inputs of this prototype are three diagrams, and the outputs are test items generated from the extracted correspondences. As an example, a source code of blackjack game in Java has been tested by using the test items outputted from the prototype. It has been possible to test 67.2% of the number of lines in the whole source code.","1530-1362","0-7695-2465-6","10.1109/APSEC.2005.91","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1607192","software testing;Unified Modeling Language (UML);test items;functional testing;Java.","Proposals;Java;Unified modeling language;Software testing;System testing;Prototypes;Software prototyping;Medical tests;Software safety;Application software","","1","1","12","IEEE","20 Mar 2006","15-17 Dec. 2005","15-17 Dec. 2005","IEEE","IEEE Conferences"
"HIDOORS - a high integrity distributed deterministic Java environment","J. Ventura; F. Siebert; A. Walter; J. Hunt","Skysoft Portugal, Portugal; Aicas GmbH, Germany; Aicas GmbH, Germany; Forschungszentrum Informatik, Germany",Proceedings of the Seventh IEEE International Workshop on Object-Oriented Real-Time Dependable Systems. (WORDS 2002),"7 Aug 2002","2002","","","113","118","This paper presents the design of HIDOORS, an integrated development environment suitable for embedded distributed real-time systems, based on the Java programming language. HIDOORS will cover all the life-cycle of real-time software development with extensions to existing tools (UML modeling, Java compiler Java Virtual Machine, and a worst case execution time analysis tool) that will all be integrated into a single integrated development environment. The system will also assist the developer in distributing the application, by providing faster RMI and a distributed event manager that provides strict timing guarantees. This paper is written at the beginning of HIDOORS development, and as such, it presents only, the defined objectives and the early, architecture of the system; further developments will be the Subject of future works.","1530-1443","0-7695-1576-2","10.1109/WORDS.2002.1000043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000043","","Java;Real time systems;Application software;Embedded system;Computer languages;Safety;Memory management;Programming;Embedded computing;Electrical equipment industry","","10","","9","IEEE","7 Aug 2002","9-9 Jan. 2002","9-9 Jan. 2002","IEEE","IEEE Conferences"
