"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Boller M.L.; Krupitzer C.","Boller, Meta Leonie (58778965900); Krupitzer, Christian (55792572000)","58778965900; 55792572000","Beans, Blockchain, and Beliefs: How German Consumers Perceive Value in Sustainable Coffee Certifications","2026","Sustainability (Switzerland)","18","10","5159","","","0","10.3390/su18105159","https://www.scopus.com/pages/publications/105040167782?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105040167782"
"Lv Z.; Tang C.; Zheng Y.; Yang X.","Lv, Zhikai (60148639400); Tang, Chaolan (56337460500); Zheng, Yiqing (60621205400); Yang, Xian (51666138500)","60148639400; 56337460500; 60621205400; 51666138500","Proactive Interaction of Artificial Intelligence Agents in Intelligent Assistive Systems: Mechanisms and Impacts","2026","International Journal of Human-Computer Interaction","42","10","","7609","7629","4","10.1080/10447318.2025.2560518","https://www.scopus.com/pages/publications/105038136253?origin=resultslist","Article","Final","","Scopus","2-s2.0-105038136253"
"Gomez I.; Díaz de Cerio U.; Rivas J.M.; Gutiérrez J.J.; González Harbour M.","Gomez, Iosu (58035709300); Díaz de Cerio, Unai (56825986900); Rivas, Juan M. (50861915600); Gutiérrez, J. Javier (7004505028); González Harbour, Michael (57431519000)","58035709300; 56825986900; 50861915600; 7004505028; 57431519000","Real-time modeling and analysis of a smart mobility use case running on heterogeneous MPSoC hardware and ROS 2","2026","Real-Time Systems","62","1","3","","","0","10.1007/s11241-026-09458-y","https://www.scopus.com/pages/publications/105048056655?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105048056655"
"Abrath B.; Coppens B.; De Sutter B.","Abrath, Bert (57151428600); Coppens, Bart (35174319500); De Sutter, Bjorn (56416241500)","57151428600; 35174319500; 56416241500","MVX-based mitigation of position-independent code reuse","2025","Computers and Security","159","","104655","","","1","10.1016/j.cose.2025.104655","https://www.scopus.com/pages/publications/105016088589?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105016088589"
"Veith E.M.S.P.; Nieße A.; Lehnhoff S.","Veith, Eric M. S. P. (57217096886); Nieße, Astrid (6503972035); Lehnhoff, Sebastian (23135379900)","57217096886; 6503972035; 23135379900","AI in the Energy Sector: An Editorial Survey","2026","KI - Kunstliche Intelligenz","40","1","","5","15","0","10.1007/s13218-026-00903-5","https://www.scopus.com/pages/publications/105035288941?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035288941"
"Silva-Alvarado V.L.; Lloret J.","Silva-Alvarado, Vinie Lee (59403064300); Lloret, Jaime (23389476400)","59403064300; 23389476400","Multivariate Gas Sensor E-Nose System with PARAFAC and Machine Learning Modeling for Quantifying and Classifying the Impact of Fishing Gears","2026","Sensors","26","1","6","","","2","10.3390/s26010006","https://www.scopus.com/pages/publications/105027010327?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027010327"
"Uysal O.; Özpolat E.; Gökdere G.; Altinterim B.; Tuna Keleştemur G.; Köprücü K.","Uysal, Osman (57224118610); Özpolat, Emine (55105892100); Gökdere, Gökhan (56181374600); Altinterim, Başar (23666169000); Tuna Keleştemur, Gülüzar (55228665800); Köprücü, Kenan (6507723535)","57224118610; 55105892100; 56181374600; 23666169000; 55228665800; 6507723535","Sustainability Governance in Türkiye’s Aquaculture Sector: Exploring Strategic Interdependencies Through an Expert-Based Interaction Framework","2026","Sustainability (Switzerland)","18","15","7640","","","0","10.3390/su18157640","https://www.scopus.com/pages/publications/105047214936?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047214936"
"Silvano W.F.; Mayr L.; Brum E.; Cabral G.; Schardong F.; Custódio R.","Silvano, Wellington Fernandes (57216990774); Mayr, Lucas (57842276900); Brum, Enzo (60600120400); Cabral, Gabriel (60600230300); Schardong, Frederico (56938998800); Custódio, Ricardo (23134431000)","57216990774; 57842276900; 60600120400; 60600230300; 56938998800; 23134431000","Redefining Digital Web Signature Secrecy: A Client-Side Model for Enhanced Security and Compliance","2026","Journal of the Brazilian Computer Society","32","1","","888","905","0","10.5753/jbcs.2026.5556","https://www.scopus.com/pages/publications/105036860029?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036860029"
"Michos G.; Konstantopoulos G.C.","Michos, Grigoris (57201394037); Konstantopoulos, George C. (57217604109)","57201394037; 57217604109","Decentralized Voltage Control of AC Microgrids With Constant Power Loads Using Control Barrier Functions","2026","IEEE Transactions on Control of Network Systems","13","2","","1134","1145","1","10.1109/TCNS.2026.3687043","https://www.scopus.com/pages/publications/105037180687?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105037180687"
"Kodetzki M.; Bordis T.; Potanin A.; Schaefer I.","Kodetzki, Maximilian (58160762600); Bordis, Tabea (57215096443); Potanin, Alex (37062710900); Schaefer, Ina (55152409100)","58160762600; 57215096443; 37062710900; 55152409100","X-by-Construction: Towards Ensuring Non-functional Properties in by-Construction Engineering","2025","Onward! 2025 - Proceedings of the 2025 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software, Co-located with SPLASH 2025","","","","99","115","1","10.1145/3759429.3762623","https://www.scopus.com/pages/publications/105021397611?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021397611"
