Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Scalable and precise estimation and debugging of the worst-case execution time for analysis-friendly processors: a comeback of model checking,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-018-0497-2,Martin BeckerRavindra MettaR. VenkateshSamarjit Chakraborty,2018,https://link.springer.com/article/10.1007/s10009-018-0497-2,Article
Mock objects for testing java systems,Empirical Software Engineering,,,,10.1007/s10664-018-9663-0,Davide SpadiniMaurício AnicheMagiel BruntinkAlberto Bacchelli,2018,https://link.springer.com/article/10.1007/s10664-018-9663-0,Article
Mechanising a Type-Safe Model of Multithreaded Java with a Verified Compiler,Journal of Automated Reasoning,,,,10.1007/s10817-018-9452-x,Andreas Lochbihler,2018,https://link.springer.com/article/10.1007/s10817-018-9452-x,Article
Certifying delta-oriented programs,Software & Systems Modeling,,,,10.1007/s10270-018-00704-x,Vítor RodriguesSimone DonettiFerruccio Damiani,2018,https://link.springer.com/article/10.1007/s10270-018-00704-x,Article
Deadlock and WCET analysis of barrier-synchronized concurrent programs,Computing,,,,10.1007/s00607-017-0555-8,Robert MittermayrJohann Blieberger,2017,https://link.springer.com/article/10.1007/s00607-017-0555-8,Article
A method for testing and validating executable statechart models,Software & Systems Modeling,,,,10.1007/s10270-018-0676-3,Tom MensAlexandre DecanNikolaos I. Spanoudakis,2018,https://link.springer.com/article/10.1007/s10270-018-0676-3,Article
A Java Bytecode Formalisation,"Verified Software. Theories, Tools, and Experiments",,,,10.1007/978-3-030-03592-1_8,Patryk CzarnikJacek ChrząszczAleksy Schubert,2018,https://link.springer.com/chapter/10.1007/978-3-030-03592-1_8,Conference paper
Towards a distributed real-time hybrid simulator for autonomous vehicles,Computing,,,,10.1007/s00607-018-0649-y,Jens de HoogArthur JanssensSiegfried MercelisPeter Hellinckx,2018,https://link.springer.com/article/10.1007/s00607-018-0649-y,Article
A Java Bytecode Metamodel for Composable Program Analyses,Software Technologies: Applications and Foundations,,,,10.1007/978-3-319-74730-9_4,Bugra M. YildizChristoph BockischArend RensinkMehmet Aksit,2018,https://link.springer.com/chapter/10.1007/978-3-319-74730-9_4,Conference paper
Code coverage differences of Java bytecode and source code instrumentation tools,Software Quality Journal,,,,10.1007/s11219-017-9389-z,Ferenc HorváthTamás GergelyÁrpád BeszédesDávid TengeriGergő BaloghTibor Gyimóthy,2017,https://link.springer.com/article/10.1007/s11219-017-9389-z,Article
JBMC: A Bounded Model Checking Tool for Verifying Java Bytecode,Computer Aided Verification,,,,10.1007/978-3-319-96145-3_10,Lucas CordeiroPascal KesseliDaniel KroeningPeter SchrammelMarek Trtik,2018,https://link.springer.com/chapter/10.1007/978-3-319-96145-3_10,Conference paper
A Type-Directed Algorithm to Generate Well-Typed Featherweight Java Programs,Formal Methods: Foundations and Applications,,,,10.1007/978-3-030-03044-5_4,Samuel S. FeitosaRodrigo Geraldo RibeiroAndre Rauber Du Bois,2018,https://link.springer.com/chapter/10.1007/978-3-030-03044-5_4,Conference paper
Modeling and analyzing real-time wireless sensor and actuator networks using actors and model checking,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-017-0480-3,Ehsan KhamespanahMarjan SirjaniKirill MechitovGul Agha,2017,https://link.springer.com/article/10.1007/s10009-017-0480-3,Article
Verifying a Concurrent Garbage Collector with a Rely-Guarantee Methodology,Journal of Automated Reasoning,,,,10.1007/s10817-018-9489-x,Yannick ZakowskiDavid CacheraDelphine DemangeGustavo PetriDavid PichardieSuresh JagannathanJan Vitek,2018,https://link.springer.com/article/10.1007/s10817-018-9489-x,Article
Towards Real-Time Semantics for a Distributed Event-Based MOP Language,New Trends in Model and Data Engineering,,,,10.1007/978-3-030-02852-7_20,Mateo SanabriaWilmer Garzón AlfonsoLuis Daniel Benavides Navarro,2018,https://link.springer.com/chapter/10.1007/978-3-030-02852-7_20,Conference paper
