Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An empirical study of automated unit test generation for Python,Empirical Software Engineering,,,,10.1007/s10664-022-10248-w,Stephan LukasczykFlorian KroißGordon Fraser,2023,https://link.springer.com/article/10.1007/s10664-022-10248-w,Article
Towards effective assessment of steady state performance in Java software: are we there yet?,Empirical Software Engineering,,,,10.1007/s10664-022-10247-x,Luca TrainiVittorio CortellessaDaniele Di PompeoMichele Tucci,2022,https://link.springer.com/article/10.1007/s10664-022-10247-x,Article
An evaluation of approaches to model checking real-time task schedulability analysis,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00693-9,Madoda NxumaloNils TimmStefan Gruner,2023,https://link.springer.com/article/10.1007/s10009-022-00693-9,Article
Efficient regression testing of distributed real-time reactive systems in the context of model-driven development,Software and Systems Modeling,,,,10.1007/s10270-023-01086-5,Majid BabaeiJuergen Dingel,2023,https://link.springer.com/article/10.1007/s10270-023-01086-5,Article
Injecting software faults in Python applications,Empirical Software Engineering,,,,10.1007/s10664-021-10047-9,Henrique MarquesNuno LaranjeiroJorge Bernardino,2021,https://link.springer.com/article/10.1007/s10664-021-10047-9,Article
Wit4Java: A Violation-Witness Validator for Java Verifiers (Competition Contribution),Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-99527-0_36,Tong WuPeter SchrammelLucas C. Cordeiro,2022,https://link.springer.com/chapter/10.1007/978-3-030-99527-0_36,Conference paper
"Characterizing usages, updates and risks of third-party libraries in Java projects",Empirical Software Engineering,,,,10.1007/s10664-022-10131-8,Kaifeng HuangBihuan ChenCongying XuYing WangBowen ShiXin PengYijian WuYang Liu,2022,https://link.springer.com/article/10.1007/s10664-022-10131-8,Article
JChainz: Automatic Detection of&#xa0;Deserialization Vulnerabilities for&#xa0;the&#xa0;Java Language,Security and Trust Management,,,,10.1007/978-3-031-29504-1_8,Luca BuccioliStefano CristalliEdoardo VignatiLorenzo NavaDaniele BadagliaccaDanilo BruschiLong LuAndrea Lanzi,2023,https://link.springer.com/chapter/10.1007/978-3-031-29504-1_8,Conference paper
Differential Testing of&#xa0;Simulation-Based Virtual Machine Generators,Reuse and Software Quality,,,,10.1007/978-3-031-08129-3_7,Pierre Misse-chanabierGuillermo PolitoNoury BouraqadiStéphane DucasseLuc FabressePablo Tesone,2022,https://link.springer.com/chapter/10.1007/978-3-031-08129-3_7,Conference paper
From Specification to Testing: Semantics Engineering for Lua 5.2,Journal of Automated Reasoning,,,,10.1007/s10817-022-09638-y,Mallku SoldevilaBeta ZilianiBruno Silvestre,2022,https://link.springer.com/article/10.1007/s10817-022-09638-y,Article
Static detection of equivalent mutants in real-time model-based mutation testing,Empirical Software Engineering,,,,10.1007/s10664-022-10149-y,Davide BasileMaurice H. ter BeekSami LazregMaxime CordyAxel Legay,2022,https://link.springer.com/article/10.1007/s10664-022-10149-y,Article
Algebraic Virtual Machine Project,ICTERI 2021 Workshops,,,,10.1007/978-3-031-14841-5_23,Oleksandr LetychevskyiVolodymyr PeschanenkoVladislav Volkov,2022,https://link.springer.com/chapter/10.1007/978-3-031-14841-5_23,Conference paper
Safe Autonomous Decision-Making with&#xa0;vGOAL,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Cognitive Mimetics. The PAAMS Collection",,,,10.1007/978-3-031-37616-0_32,Yi YangTom Holvoet,2023,https://link.springer.com/chapter/10.1007/978-3-031-37616-0_32,Conference paper
Empirically evaluating flaky test detection techniques combining test case rerunning and machine learning models,Empirical Software Engineering,,,,10.1007/s10664-023-10307-w,Owain ParryGregory M. KapfhammerMichael HiltonPhil McMinn,2023,https://link.springer.com/article/10.1007/s10664-023-10307-w,Article
JavaBIP meets VerCors: Towards the Safety of Concurrent Software Systems in Java,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-30826-0_8,Simon BliudzePetra van den BosMarieke HuismanRobert RubbensLarisa Safina,2023,https://link.springer.com/chapter/10.1007/978-3-031-30826-0_8,Conference paper
"Real-time multi-agent systems: rationality, formal model, and empirical results",Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-020-09492-5,Davide CalvaresiYashin Dicente CidMauro MarinoniAldo Franco DragoniAmro NajjarMichael Schumacher,2021,https://link.springer.com/article/10.1007/s10458-020-09492-5,Article
"Verifying OpenJDK’s <Emphasis FontCategory=""NonProportional"">LinkedList</Emphasis> using KeY (extended paper)",International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00679-7,Hans-Dieter A. HiepOlaf MaathuisJinting BianFrank S. de BoerStijn de Gouw,2022,https://link.springer.com/article/10.1007/s10009-022-00679-7,Article
Repairing Real-Time Requirements,Automated Technology for Verification and Analysis,,,,10.1007/978-3-031-19992-9_24,Reiya NoguchiOcan SankurThierry JéronNicolas MarkeyDavid Mentré,2022,https://link.springer.com/chapter/10.1007/978-3-031-19992-9_24,Conference paper
Instrumentation for&#xa0;RV: From Basic Monitoring to&#xa0;Advanced Use Cases,Runtime Verification,,,,10.1007/978-3-031-44267-4_23,Chukri SoueidiYliès Falcone,2023,https://link.springer.com/chapter/10.1007/978-3-031-44267-4_23,Conference paper
Execution Time Program Verification with&#xa0;Tight Bounds,Practical Aspects of Declarative Languages,,,,10.1007/978-3-031-24841-2_4,Ana Carolina SilvaManuel BarbosaMário Florido,2023,https://link.springer.com/chapter/10.1007/978-3-031-24841-2_4,Conference paper
Verifying temporal specifications of Java programs,Software Quality Journal,,,,10.1007/s11219-019-09488-9,Francesco SpegniLuca SpalazziGiovanni LivaMartin PinzgerAndreas Bollin,2020,https://link.springer.com/article/10.1007/s11219-019-09488-9,Article
