Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Deriving fault-detection mechanisms from safety requirements,Computer Science - Research and Development,,,,10.1007/s00450-011-0203-z,Dominik SojerChristian BucklAlois Knoll,2011,https://link.springer.com/article/10.1007/s00450-011-0203-z,Article
A Functional Approach to Worst-Case Execution Time Analysis,Functional and Constraint Logic Programming,,,,10.1007/978-3-642-22531-4_6,Vítor RodriguesMário FloridoSimão Melo de Sousa,2011,https://link.springer.com/chapter/10.1007/978-3-642-22531-4_6,Conference paper
A Deterministic Interpreter Simulating a Distributed Real Time System Using VDM,Formal Methods and Software Engineering,,,,10.1007/978-3-642-24559-6_14,Kenneth LausdahlPeter Gorm LarsenNick Battle,2011,https://link.springer.com/chapter/10.1007/978-3-642-24559-6_14,Conference paper
The Safety-Critical Java Memory Model: A Formal Account,FM 2011: Formal Methods,,,,10.1007/978-3-642-21437-0_20,Ana CavalcantiAndy WellingsJim Woodcock,2011,https://link.springer.com/chapter/10.1007/978-3-642-21437-0_20,Conference paper
Animating the Formalised Semantics of a Java-Like Language,Interactive Theorem Proving,,,,10.1007/978-3-642-22863-6_17,Andreas LochbihlerLukas Bulwahn,2011,https://link.springer.com/chapter/10.1007/978-3-642-22863-6_17,Conference paper
More testable properties,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-011-0220-z,Yliès FalconeJean-Claude FernandezThierry JéronHervé MarchandLaurent Mounier,2011,https://link.springer.com/article/10.1007/s10009-011-0220-z,Article
The Safety-Critical Java Mission Model: A Formal Account,Formal Methods and Software Engineering,,,,10.1007/978-3-642-24559-6_6,Frank ZeydaAna CavalcantiAndy Wellings,2011,https://link.springer.com/chapter/10.1007/978-3-642-24559-6_6,Conference paper
Automated GUI performance testing,Software Quality Journal,,,,10.1007/s11219-011-9135-x,Andrea AdamoliDmitrijs ZaparanuksMilan JovicMatthias Hauswirth,2011,https://link.springer.com/article/10.1007/s11219-011-9135-x,Article
Location pairs: a test coverage metric for shared-memory concurrent programs,Empirical Software Engineering,,,,10.1007/s10664-011-9166-8,Serdar TasiranM. Erkan KeremoğluKivanç Muşlu,2011,https://link.springer.com/article/10.1007/s10664-011-9166-8,Article
A Formalisation of Java Strings for Program Specification and Verification,Software Engineering and Formal Methods,,,,10.1007/978-3-642-24690-6_8,Richard BubelReiner HähnleUlrich Geilmann,2011,https://link.springer.com/chapter/10.1007/978-3-642-24690-6_8,Conference paper
Model checking agent programming languages,Automated Software Engineering,,,,10.1007/s10515-011-0088-x,Louise A. DennisMichael FisherMatthew P. WebsterRafael H. Bordini,2011,https://link.springer.com/article/10.1007/s10515-011-0088-x,Article
Development of an automated MBT toolchain from UML/SysML models,Innovations in Systems and Software Engineering,,,,10.1007/s11334-011-0164-1,Jonathan LasalleFabien PeureuxFrédéric Fondement,2011,https://link.springer.com/article/10.1007/s11334-011-0164-1,Article
Counting Messages as a Proxy for Average Execution Time in Pharo,ECOOP 2011 – Object-Oriented Programming,,,,10.1007/978-3-642-22655-7_25,Alexandre Bergel,2011,https://link.springer.com/chapter/10.1007/978-3-642-22655-7_25,Conference paper
Comparing Metaheuristic Algorithms for Error Detection in Java Programs,Search Based Software Engineering,,,,10.1007/978-3-642-23716-4_11,Francisco ChicanoMarco FerreiraEnrique Alba,2011,https://link.springer.com/chapter/10.1007/978-3-642-23716-4_11,Conference paper
GameTime: A Toolkit for Timing Analysis of Software,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-642-19835-9_34,Sanjit A. SeshiaJonathan Kotker,2011,https://link.springer.com/chapter/10.1007/978-3-642-19835-9_34,Conference paper
JPure: A Modular Purity System for Java,Compiler Construction,,,,10.1007/978-3-642-19861-8_7,David J. Pearce,2011,https://link.springer.com/chapter/10.1007/978-3-642-19861-8_7,Conference paper
An overview of the MOP runtime verification framework,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-011-0198-6,Patrick O’Neil MeredithDongyun JinDennis GriffithFeng ChenGrigore Roşu,2011,https://link.springer.com/article/10.1007/s10009-011-0198-6,Article
Real-Time Signaling in SDL,SDL 2011: Integrating System and Software Modeling,,,,10.1007/978-3-642-25264-8_15,Marc KrämerTobias BraunDennis ChristmannReinhard Gotzhein,2011,https://link.springer.com/chapter/10.1007/978-3-642-25264-8_15,Conference paper
