Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Heuristics for model checking Java programs,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0130-9,Alex GroceWillem Visser,2004,https://link.springer.com/article/10.1007/s10009-003-0130-9,Article
Integration of informal and formal development of object-oriented safety-critical software,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0166-5,Richard BubelReiner Hähnle,2004,https://link.springer.com/article/10.1007/s10009-004-0166-5,Article
Meta-modelling and graph grammars for multi-paradigm modelling in AToM<sup>3</sup>,Software & Systems Modeling,,,,10.1007/s10270-003-0047-5,Juan de LaraHans VangheluweManuel Alfonseca,2004,https://link.springer.com/article/10.1007/s10270-003-0047-5,Article
Bisimilarity for the Region Calculus,Higher-Order and Symbolic Computation,,,,10.1007/s10990-004-4868-x,Simon Helsen,2004,https://link.springer.com/article/10.1007/s10990-004-4868-x,Article
Hard Real-Time Implementation of Embedded Software in JAVA,Scientific Engineering of Distributed Java Applications,,,,10.1007/978-3-540-24639-8_4,Jean-Pierre TalpinAbdoulaye GamatiéDavid BernerBruno Le DezPaul Le Guernic,2004,https://link.springer.com/chapter/10.1007/978-3-540-24639-8_4,Conference paper
Implementing Coloured Petri Nets Using a Functional Programming Language,Higher-Order and Symbolic Computation,,,,10.1023/B:LISP.0000029445.29210.ca,Lars Michael KristensenSøren Christensen,2004,https://link.springer.com/article/10.1023/B:LISP.0000029445.29210.ca,Article
Exploiting Java Objects Behavior for Memory Management and Optimizations,Programming Languages and Systems,,,,10.1007/978-3-540-30477-7_29,Zoe C. H. YuFrancis C. M. LauCho-Li Wang,2004,https://link.springer.com/chapter/10.1007/978-3-540-30477-7_29,Conference paper
From Interpreter to Logic Engine by Defunctionalization,Logic Based Program Synthesis and Transformation,,,,10.1007/978-3-540-25938-1_13,Dariusz BiernackiOlivier Danvy,2004,https://link.springer.com/chapter/10.1007/978-3-540-25938-1_13,Conference paper
A Formally Verified Calculus for Full Java Card,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-27815-3_37,Kurt Stenzel,2004,https://link.springer.com/chapter/10.1007/978-3-540-27815-3_37,Conference paper
Formally specifying CARA in Java,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0124-7,Eugene W. Stark,2003,https://link.springer.com/article/10.1007/s10009-003-0124-7,Article
Dynamic Meta Modeling with time: Specifying the semantics of multimedia sequence diagrams,Software & Systems Modeling,,,,10.1007/s10270-003-0045-7,Jan Hendrik HausmannReiko HeckelStefan Sauer,2004,https://link.springer.com/article/10.1007/s10270-003-0045-7,Article
Formal Techniques for Java-Like Programs,Object-Oriented Technology. ECOOP 2003 Workshop Reader,,,,10.1007/978-3-540-25934-3_7,Susan EisenbachGary T. LeavensPeter MüllerArnd Poetzsch-HeffterErik Poll,2004,https://link.springer.com/chapter/10.1007/978-3-540-25934-3_7,Conference paper
Model Generation for Distributed Java Programs,Scientific Engineering of Distributed Java Applications,,,,10.1007/978-3-540-24639-8_13,Rabéa BoulifaEric Madelaine,2004,https://link.springer.com/chapter/10.1007/978-3-540-24639-8_13,Conference paper
