Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Symmetry reductions for model checking of concurrent dynamic software,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0154-9,Radu Iosif,2004,https://link.springer.com/article/10.1007/s10009-004-0154-9,Article
Parameterized Models for Distributed Java Objects,Formal Techniques for Networked and Distributed Systems – FORTE 2004,,,,10.1007/978-3-540-30232-2_4,Tomás BarrosRabéa BoulifaEric Madelaine,2004,https://link.springer.com/chapter/10.1007/978-3-540-30232-2_4,Conference paper
Linking CSP-OZ with UML and Java: A Case Study,Integrated Formal Methods,,,,10.1007/978-3-540-24756-2_15,Michael MöllerErnst-Rüdiger OlderogHolger RaschHeike Wehrheim,2004,https://link.springer.com/chapter/10.1007/978-3-540-24756-2_15,Conference paper
Generic Exception Handling and the Java Monad,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-27815-3_34,Lutz SchröderTill Mossakowski,2004,https://link.springer.com/chapter/10.1007/978-3-540-27815-3_34,Conference paper
Event-Driven Programming with Logical Execution Times,Hybrid Systems: Computation and Control,,,,10.1007/978-3-540-24743-2_24,Arkadeb GhosalThomas A. HenzingerChristoph M. KirschMarco A. A. Sanvido,2004,https://link.springer.com/chapter/10.1007/978-3-540-24743-2_24,Conference paper
Formal JVM Code Analysis in JavaFAN,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-27815-3_14,Azadeh FarzanJosé MeseguerGrigore Roşu,2004,https://link.springer.com/chapter/10.1007/978-3-540-27815-3_14,Conference paper
Formal verification of fault tolerance in safety-critical reconfigurable modules,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0152-y,Jerker HammarbergSimin Nadjm-Tehrani,2004,https://link.springer.com/article/10.1007/s10009-004-0152-y,Article
Implementation of Embedded Cores-Based Digital Devices in JBits Java Simulation Environment,Intelligent Information Technology,,,,10.1007/978-3-540-30561-3_33,Mansour H. AssafRami S. AbielmonaPayam AbolghasemSunil R. DasEmil M. PetriuVoicu GrozaMehmet Sahinoglu,2004,https://link.springer.com/chapter/10.1007/978-3-540-30561-3_33,Conference paper
Applying Jlint to Space Exploration Software,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-540-24622-0_24,Cyrille ArthoKlaus Havelund,2004,https://link.springer.com/chapter/10.1007/978-3-540-24622-0_24,Conference paper
Verifiable Multi-agent Programs,Programming Multi-Agent Systems,,,,10.1007/978-3-540-25936-7_4,Rafael H. BordiniMichael FisherWillem VisserMichael Wooldridge,2004,https://link.springer.com/chapter/10.1007/978-3-540-25936-7_4,Conference paper
Rewriting Logic Semantics: From Language Specifications to Formal Analysis Tools,Automated Reasoning,,,,10.1007/978-3-540-25984-8_1,José MeseguerGrigore Roşu,2004,https://link.springer.com/chapter/10.1007/978-3-540-25984-8_1,Conference paper
Automated Generation of Strictly Conforming Tests Based on Formal Specification of Dynamic Semantics of the Programming Language,Programming and Computer Software,,,,10.1023/B:PACS.0000036420.25147.da,A. S. KossatchevP. KutterM. A. Posypkin,2004,https://link.springer.com/article/10.1023/B:PACS.0000036420.25147.da,Article
Integration of Functional and Timed Testing of Real-Time and Concurrent Systems,Perspectives of System Informatics,,,,10.1007/978-3-540-39866-0_45,Victor V. KuliaminAlexander K. PetrenkoNick V. PakoulinAlexander S. KossatchevIgor B. Bourdonov,2004,https://link.springer.com/chapter/10.1007/978-3-540-39866-0_45,Conference paper
A Tool-Assisted Framework for&#xa0;Certified&#xa0;Bytecode&#xa0;Verification,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-540-24721-0_7,Gilles BartheGuillaume Dufay,2004,https://link.springer.com/chapter/10.1007/978-3-540-24721-0_7,Conference paper
Machine Function Based Control Code Algebras,Formal Methods for Components and Objects,,,,10.1007/978-3-540-30101-1_2,Jan A. Bergstra,2004,https://link.springer.com/chapter/10.1007/978-3-540-30101-1_2,Conference paper
Sequential Object Monitors,ECOOP 2004 – Object-Oriented Programming,,,,10.1007/978-3-540-24851-4_15,Denis CaromelLuis MateuÉric Tanter,2004,https://link.springer.com/chapter/10.1007/978-3-540-24851-4_15,Conference paper
Software Verification with Integrated Data Type Refinement for Integer Arithmetic,Integrated Formal Methods,,,,10.1007/978-3-540-24756-2_12,Bernhard BeckertSteffen Schlager,2004,https://link.springer.com/chapter/10.1007/978-3-540-24756-2_12,Conference paper
The dMARS Architecture: A Specification of the Distributed Multi-Agent Reasoning System,Autonomous Agents and Multi-Agent Systems,,,,10.1023/B:AGNT.0000019688.11109.19,Mark D'InvernoMichael LuckMichael GeorgeffDavid KinnyMichael Wooldridge,2004,https://link.springer.com/article/10.1023/B:AGNT.0000019688.11109.19,Article
Certification of compiled assembly code by invariant translation,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0125-6,Xavier Rival,2004,https://link.springer.com/article/10.1007/s10009-003-0125-6,Article
Improved Compilation of Prolog to C Using Moded Types and Determinism Information,Practical Aspects of Declarative Languages,,,,10.1007/978-3-540-24836-1_7,J. MoralesManuel CarroManuel Hermenegildo,2004,https://link.springer.com/chapter/10.1007/978-3-540-24836-1_7,Conference paper
"Partial-order reduction and trail improvement
in directed model checking",International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0151-z,Stefan EdelkampStefan LeueAlberto Lluch-Lafuente,2004,https://link.springer.com/article/10.1007/s10009-004-0151-z,Article
Programming Robotic Devices with a Timed Concurrent Constraint Language,Principles and Practice of Constraint Programming – CP 2004,,,,10.1007/978-3-540-30201-8_82,María del Pilar MuñozAndrés René Hurtado,2004,https://link.springer.com/chapter/10.1007/978-3-540-30201-8_82,Conference paper
A Functional Scenario for Bytecode Verification of Resource Bounds,Computer Science Logic,,,,10.1007/978-3-540-30124-0_22,Roberto M. AmadioSolange Coupet-GrimalSilvano Dal ZilioLine Jakubiec,2004,https://link.springer.com/chapter/10.1007/978-3-540-30124-0_22,Conference paper
Lightweight coarse-grained coordination: a scalable system-level approach,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0119-4,Tiziana MargariaBernhard Steffen,2004,https://link.springer.com/article/10.1007/s10009-003-0119-4,Article
Checking Strong Specifications Using an Extensible Software Model Checking Framework,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-540-24730-2_31,RobbyEdwin RodríguezMatthew B. DwyerJohn Hatcliff,2004,https://link.springer.com/chapter/10.1007/978-3-540-24730-2_31,Conference paper
Using simulated execution in verifying distributed algorithms,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0126-5,Toh Ne WinMichael D. ErnstStephen J. GarlandDilsun KırlıNancy A. Lynch,2004,https://link.springer.com/article/10.1007/s10009-003-0126-5,Article
Semantics of Plan Revision in Intelligent Agents,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-27815-3_33,M. Birna van RiemsdijkJohn-Jules Charles MeyerFrank S. de Boer,2004,https://link.springer.com/chapter/10.1007/978-3-540-27815-3_33,Conference paper
"A Practice-Oriented Course on the Principles of Computation, Programming, and System Design and Analysis",Teaching Formal Methods,,,,10.1007/978-3-540-30472-2_5,Egon Börger,2004,https://link.springer.com/chapter/10.1007/978-3-540-30472-2_5,Conference paper
Region-Based Memory Management for a Dynamically-Typed Language,Programming Languages and Systems,,,,10.1007/978-3-540-30477-7_16,Akihito NagataNaoki KobayashiAkinori Yonezawa,2004,https://link.springer.com/chapter/10.1007/978-3-540-30477-7_16,Conference paper
Resource Control for Synchronous Cooperative Threads,CONCUR 2004 - Concurrency Theory,,,,10.1007/978-3-540-28644-8_5,Roberto M. AmadioSilvano Dal Zilio,2004,https://link.springer.com/chapter/10.1007/978-3-540-28644-8_5,Conference paper
Using Block-Local Atomicity to Detect Stale-Value Concurrency Errors,Automated Technology for Verification and Analysis,,,,10.1007/978-3-540-30476-0_16,Cyrille ArthoKlaus HavelundArmin Biere,2004,https://link.springer.com/chapter/10.1007/978-3-540-30476-0_16,Conference paper
Efficient verification of timed automata with BDD-like data structures,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0135-4,Farn Wang,2004,https://link.springer.com/article/10.1007/s10009-003-0135-4,Article
Software Product Line Support in Coremetrics OA2004,Software Product Lines,,,,10.1007/978-3-540-28630-1_2,James SnyderHarry LaiShirish ReddyJimmy Wan,2004,https://link.springer.com/chapter/10.1007/978-3-540-28630-1_2,Conference paper
Detecting Software Defects in Telecom Applications Through Lightweight Static Analysis: A War Story,Programming Languages and Systems,,,,10.1007/978-3-540-30477-7_7,Tobias LindahlKonstantinos Sagonas,2004,https://link.springer.com/chapter/10.1007/978-3-540-30477-7_7,Conference paper
μABC: A Minimal Aspect Calculus,CONCUR 2004 - Concurrency Theory,,,,10.1007/978-3-540-28644-8_14,Glenn BrunsRadha JagadeesanAlan JeffreyJames Riely,2004,https://link.springer.com/chapter/10.1007/978-3-540-28644-8_14,Conference paper
Directed Error Detection in C++ with the Assembly-Level Model Checker StEAM,Model Checking Software,,,,10.1007/978-3-540-24732-6_4,Peter LevenTilman MehlerStefan Edelkamp,2004,https://link.springer.com/chapter/10.1007/978-3-540-24732-6_4,Conference paper
System-level functional testing from UML specifications in end-of-production industrial environments,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0147-8,Andrea BaldiniAlfredo BensoPaolo Prinetto,2004,https://link.springer.com/article/10.1007/s10009-004-0147-8,Article
A Security Logic for Abstract State Machines,Abstract State Machines 2004. Advances in Theory and Practice,,,,10.1007/978-3-540-24773-9_13,Stanislas NanchenRobert F. Stärk,2004,https://link.springer.com/chapter/10.1007/978-3-540-24773-9_13,Conference paper
IF Validation Environment Tutorial,Model Checking Software,,,,10.1007/978-3-540-24732-6_22,Marius BozgaSusanne GrafLaurent MounierIulian Ober,2004,https://link.springer.com/chapter/10.1007/978-3-540-24732-6_22,Conference paper
A Mechanical Proof of the Cook-Levin Theorem,Theorem Proving in Higher Order Logics,,,,10.1007/978-3-540-30142-4_8,Ruben GamboaJohn Cowles,2004,https://link.springer.com/chapter/10.1007/978-3-540-30142-4_8,Conference paper
Predictable Component Architectures Using Dependent Finite State Machines,Radical Innovations of Software and Systems Engineering in the Future,,,,10.1007/978-3-540-24626-8_22,Heinz W. SchmidtBernd J. KrämerIman PoernomoRalf Reussner,2004,https://link.springer.com/chapter/10.1007/978-3-540-24626-8_22,Conference paper
Heap-Bounded Assembly Language,Journal of Automated Reasoning,,,,10.1023/B:JARS.0000021014.79255.33,David AspinallAdriana Compagnoni,2003,https://link.springer.com/article/10.1023/B:JARS.0000021014.79255.33,Article
A Formal Monitoring-Based Framework for Software Development and Analysis,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_31,Feng ChenMarcelo D’AmorimGrigore Roşu,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_31,Conference paper
Exploring very large state spaces using genetic algorithms,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0141-1,Patrice GodefroidSarfraz Khurshid,2004,https://link.springer.com/article/10.1007/s10009-004-0141-1,Article
From Circus to JCSP,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_29,Marcel OliveiraAna Cavalcanti,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_29,Conference paper
Managing Verification Activities Using SVM,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_13,Bill AldrichAnsgar FehnkerPeter H. FeilerZhi HanBruce H. KroghEric LimShiva Sivashankar,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_13,Conference paper
Model-based testing for real,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0128-3,A. PretschnerO. SlotoschE. AiglstorferS. Kriebel,2004,https://link.springer.com/article/10.1007/s10009-003-0128-3,Article
Generating a Prototype from a UML Model of System Requirements,Distributed Computing and Internet Technology,,,,10.1007/978-3-540-30555-2_30,Xiaoshan LiZhiming LiuJifeng HeQuan Long,2004,https://link.springer.com/chapter/10.1007/978-3-540-30555-2_30,Conference paper
A Game Semantics of Local Names and Good Variables,Foundations of Software Science and Computation Structures,,,,10.1007/978-3-540-24727-2_21,James Laird,2004,https://link.springer.com/chapter/10.1007/978-3-540-24727-2_21,Conference paper
An Operational Semantics for Stateflow,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-540-24721-0_17,Grégoire HamonJohn Rushby,2004,https://link.springer.com/chapter/10.1007/978-3-540-24721-0_17,Conference paper
An ASM Semantics for SSA Intermediate Representations,Abstract State Machines 2004. Advances in Theory and Practice,,,,10.1007/978-3-540-24773-9_11,Sabine Glesner,2004,https://link.springer.com/chapter/10.1007/978-3-540-24773-9_11,Conference paper
Counter-example generation in symbolic abstract model-checking,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0127-4,Gordon PaceNicolas HalbwachsPascal Raymond,2004,https://link.springer.com/article/10.1007/s10009-003-0127-4,Article
Garbage Collection Algorithms for Java-Based Prolog Engines,Practical Aspects of Declarative Languages,,,,10.1007/3-540-36388-2_21,Qinan ZhouPaul Tarau,2003,https://link.springer.com/chapter/10.1007/3-540-36388-2_21,Conference paper
ADM : An Active Deductive XML Database System,MICAI 2004: Advances in Artificial Intelligence,,,,10.1007/978-3-540-24694-7_15,Oscar Olmedo-AguirreKarina Escobar-VázquezGiner Alor-HernándezGuillermo Morales-Luna,2004,https://link.springer.com/chapter/10.1007/978-3-540-24694-7_15,Conference paper
Building an Interface Between Eden and Maple: A Way of Parallelizing Computer Algebra Algorithms,Implementation of Functional Languages,,,,10.1007/978-3-540-27861-0_9,Rafael MartínezRicardo Peña,2004,https://link.springer.com/chapter/10.1007/978-3-540-27861-0_9,Conference paper
Validating Quality of Service for Reusable Software Via Model-Integrated Distributed Continuous Quality Assurance,"Software Reuse: Methods, Techniques, and Tools",,,,10.1007/978-3-540-27799-6_24,Arvind S. KrishnaDouglas C. SchmidtAtif MemonAdam PorterDiego Sevilla,2004,https://link.springer.com/chapter/10.1007/978-3-540-27799-6_24,Conference paper
Object-Oriented Modelling with High-Level Modular Petri Nets,Integrated Formal Methods,,,,10.1007/978-3-540-24756-2_16,Cécile Bui ThanhHanna Klaudel,2004,https://link.springer.com/chapter/10.1007/978-3-540-24756-2_16,Conference paper
A General Model for Reachability Testing of Concurrent Programs,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_14,Richard H. CarverYu Lei,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_14,Conference paper
Filtering TOBIAS Combinatorial Test Suites,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-540-24721-0_21,Yves LedruLydie du BousquetOlivier MauryPierre Bontron,2004,https://link.springer.com/chapter/10.1007/978-3-540-24721-0_21,Conference paper
Timed Patterns: TCOZ to Timed Automata,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_39,Jin Song DongPing HaoSheng Chao QinJun SunWang Yi,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_39,Conference paper
Java Subtype Tests in Real-Time,ECOOP 2003 – Object-Oriented Programming,,,,10.1007/978-3-540-45070-2_17,Krzysztof PalaczJan Vitek,2003,https://link.springer.com/chapter/10.1007/978-3-540-45070-2_17,Conference paper
Learning to Verify Safety Properties,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_26,Abhay VardhanKoushik SenMahesh ViswanathanGul Agha,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_26,Conference paper
Analysis of Synchronous and Asynchronous Cellular Automata Using Abstraction by Temporal Logic,Functional and Logic Programming,,,,10.1007/978-3-540-24754-8_2,Masami HagiyaKoichi TakahashiMitsuharu YamamotoTakahiro Sato,2004,https://link.springer.com/chapter/10.1007/978-3-540-24754-8_2,Conference paper
Automation of Software System Development Using Natural Language Processing and Two-Level Grammar,Radical Innovations of Software and Systems Engineering in the Future,,,,10.1007/978-3-540-24626-8_15,Beum-Seuk LeeBarrett R. Bryant,2004,https://link.springer.com/chapter/10.1007/978-3-540-24626-8_15,Conference paper
Model Checking Programs,Automated Software Engineering,,,,10.1023/A:1022920129859,Willem VisserKlaus HavelundGuillaume BratSeungJoon ParkFlavio Lerda,2003,https://link.springer.com/article/10.1023/A:1022920129859,Article
A Distributed Abstract Machine for Boxed Ambient Calculi,Programming Languages and Systems,,,,10.1007/978-3-540-24725-8_12,Andrew PhillipsNobuko YoshidaSusan Eisenbach,2004,https://link.springer.com/chapter/10.1007/978-3-540-24725-8_12,Conference paper
A Fresh Calculus for Name Management,Generative Programming and Component Engineering,,,,10.1007/978-3-540-30175-2_11,Davide AnconaEugenio Moggi,2004,https://link.springer.com/chapter/10.1007/978-3-540-30175-2_11,Conference paper
Monitoring Temporal Properties of Continuous Signals,"Formal Techniques, Modelling and Analysis of Timed and Fault-Tolerant Systems",,,,10.1007/978-3-540-30206-3_12,Oded MalerDejan Nickovic,2004,https://link.springer.com/chapter/10.1007/978-3-540-30206-3_12,Conference paper
Automatic Test Data Generation from Embedded C Code,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-540-30138-7_16,Eileen DillonChristophe Meudec,2004,https://link.springer.com/chapter/10.1007/978-3-540-30138-7_16,Conference paper
Generation of Optimized Testsuites for UML Statecharts with Time,Testing of Communicating Systems,,,,10.1007/978-3-540-24704-3_9,Tilo MückeMichaela Huhn,2004,https://link.springer.com/chapter/10.1007/978-3-540-24704-3_9,Conference paper
An ALGOL-View on Turbo ASM,Abstract State Machines 2004. Advances in Theory and Practice,,,,10.1007/978-3-540-24773-9_3,Hans Langmaack,2004,https://link.springer.com/chapter/10.1007/978-3-540-24773-9_3,Conference paper
Development of a verified Erlang program for resource locking,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0114-9,Thomas ArtsClara Benac EarleJohn Derrick,2004,https://link.springer.com/article/10.1007/s10009-003-0114-9,Article
Continuation Semantics as Horn Clauses,Logic Based Program Synthesis and Transformation,,,,10.1007/978-3-540-25938-1_15,Qian WangGopal Gupta,2004,https://link.springer.com/chapter/10.1007/978-3-540-25938-1_15,Conference paper
An XML Based General Configuration Language: XGCL,Grid and Cooperative Computing,,,,10.1007/978-3-540-24679-4_184,Huaifeng QinXingshe Zhou,2004,https://link.springer.com/chapter/10.1007/978-3-540-24679-4_184,Conference paper
Validating the Translation of an Industrial Optimizing Compiler,Automated Technology for Verification and Analysis,,,,10.1007/978-3-540-30476-0_21,I. GordinR. LeviathanA. Pnueli,2004,https://link.springer.com/chapter/10.1007/978-3-540-30476-0_21,Conference paper
Implementing Industrial Multi-agent Systems Using JACKTM,Programming Multi-Agent Systems,,,,10.1007/978-3-540-25936-7_2,Rick EvertszMartyn FletcherRichard JonesJacquie JarvisJames BruseySandy Dance,2004,https://link.springer.com/chapter/10.1007/978-3-540-25936-7_2,Conference paper
Rigorous Modeling of Hybrid Systems Using Interval Arithmetic Constraints,Hybrid Systems: Computation and Control,,,,10.1007/978-3-540-24743-2_27,Timothy J. HickeyDavid K. Wittenberg,2004,https://link.springer.com/chapter/10.1007/978-3-540-24743-2_27,Conference paper
The Cryptographic Abstract Machine,Abstract State Machines 2004. Advances in Theory and Practice,,,,10.1007/978-3-540-24773-9_15,Dean RosenzweigDavor Runje,2004,https://link.springer.com/chapter/10.1007/978-3-540-24773-9_15,Conference paper
Interfacing Hoare Logic and Type Systems for Foundational Proof-Carrying Code,Theorem Proving in Higher Order Logics,,,,10.1007/978-3-540-30142-4_10,Nadeem Abdul HamidZhong Shao,2004,https://link.springer.com/chapter/10.1007/978-3-540-30142-4_10,Conference paper
Model Checking for ACL Compliance Verification,Advances in Agent Communication,,,,10.1007/978-3-540-24608-4_5,Marc-Philippe HugetMichael Wooldridge,2004,https://link.springer.com/chapter/10.1007/978-3-540-24608-4_5,Conference paper
Model-Checking Complex Software – A Memory Perspective,Radical Innovations of Software and Systems Engineering in the Future,,,,10.1007/978-3-540-24626-8_20,Murali RangarajanDarren Cofer,2004,https://link.springer.com/chapter/10.1007/978-3-540-24626-8_20,Conference paper
Automatic Extraction of Object-Oriented Observer Abstractions from Unit-Test Executions,Formal Methods and Software Engineering,,,,10.1007/978-3-540-30482-1_27,Tao XieDavid Notkin,2004,https://link.springer.com/chapter/10.1007/978-3-540-30482-1_27,Conference paper
High-Level Robot Programming: An Abductive Approach Using Event Calculus,Advances in Artificial Intelligence – SBIA 2004,,,,10.1007/978-3-540-28645-5_8,Silvio do Lago PereiraLeliane Nunes de Barros,2004,https://link.springer.com/chapter/10.1007/978-3-540-28645-5_8,Conference paper
Modular Rewriting Semantics of Programming Languages,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-27815-3_29,José MeseguerChristiano Braga,2004,https://link.springer.com/chapter/10.1007/978-3-540-27815-3_29,Conference paper
Efficient monitoring of safety properties,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0117-6,Klaus HavelundGrigore Roşu,2003,https://link.springer.com/article/10.1007/s10009-003-0117-6,Article
Advancing the State of the Art in Run-Time Inspection,Object-Oriented Technology. ECOOP 2003 Workshop Reader,,,,10.1007/978-3-540-25934-3_18,Robert FilmanKatharina MehnerMichael Haupt,2004,https://link.springer.com/chapter/10.1007/978-3-540-25934-3_18,Conference paper
CRL: A Context-Aware Request Language for Mobile Computing,Parallel and Distributed Processing and Applications,,,,10.1007/978-3-540-30566-8_63,Alvin T. S. ChanPeter Y. H. WongSiu-Nam Chuang,2004,https://link.springer.com/chapter/10.1007/978-3-540-30566-8_63,Conference paper
Concurrency Combinators for Declarative Synchronization,Programming Languages and Systems,,,,10.1007/978-3-540-30477-7_11,Paweł T. Wojciechowski,2004,https://link.springer.com/chapter/10.1007/978-3-540-30477-7_11,Conference paper
The Modal Logic Programming System MProlog,Logics in Artificial Intelligence,,,,10.1007/978-3-540-30227-8_24,Linh Anh Nguyen,2004,https://link.springer.com/chapter/10.1007/978-3-540-30227-8_24,Conference paper
Abstract Domains for Property Checking Driven Analysis of Temporal Properties,Algebraic Methodology and Software Technology,,,,10.1007/978-3-540-27815-3_28,Damien Massé,2004,https://link.springer.com/chapter/10.1007/978-3-540-27815-3_28,Conference paper
Probabilistic symbolic model checking with PRISM: a hybrid approach,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-004-0140-2,Marta KwiatkowskaGethin NormanDavid Parker,2004,https://link.springer.com/article/10.1007/s10009-004-0140-2,Article
Combining Formal Specifications with Test Driven Development,Extreme Programming and Agile Methods - XP/Agile Universe 2004,,,,10.1007/978-3-540-27777-4_1,Hubert Baumeister,2004,https://link.springer.com/chapter/10.1007/978-3-540-27777-4_1,Conference paper
State/Event-Based Software Model Checking,Integrated Formal Methods,,,,10.1007/978-3-540-24756-2_8,Sagar ChakiEdmund M. ClarkeJoël OuaknineNatasha SharyginaNishant Sinha,2004,https://link.springer.com/chapter/10.1007/978-3-540-24756-2_8,Conference paper
Connectivity Testing Through Model-Checking,Formal Techniques for Networked and Distributed Systems – FORTE 2004,,,,10.1007/978-3-540-30232-2_11,Jens Chr. GodskesenBrian NielsenArne Skou,2004,https://link.springer.com/chapter/10.1007/978-3-540-30232-2_11,Conference paper
The UniTesK Approach to Designing Test Suites,Programming and Computer Software,,,,10.1023/B:PACS.0000004131.54590.fb,V. V. KuliaminA. K. PetrenkoA. S. KossatchevI. B. Burdonov,2003,https://link.springer.com/article/10.1023/B:PACS.0000004131.54590.fb,Article
Ownership Domains: Separating Aliasing Policy from Mechanism,ECOOP 2004 – Object-Oriented Programming,,,,10.1007/978-3-540-24851-4_1,Jonathan AldrichCraig Chambers,2004,https://link.springer.com/chapter/10.1007/978-3-540-24851-4_1,Conference paper
On Logics of Aliasing,Static Analysis,,,,10.1007/978-3-540-27864-1_25,Marius BozgaRadu IosifYassine Lakhnech,2004,https://link.springer.com/chapter/10.1007/978-3-540-27864-1_25,Conference paper
Certifying Temporal Properties for Compiled C Programs,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-540-24622-0_15,Songtao XiaJames Hook,2004,https://link.springer.com/chapter/10.1007/978-3-540-24622-0_15,Conference paper
CLPS–B – A constraint solver to animate a B specification,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0123-8,Fabrice BouquetBruno LegeardFabien Peureux,2003,https://link.springer.com/article/10.1007/s10009-003-0123-8,Article
Unit verification: the CARA experience,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-003-0134-5,Arnab RayRance Cleaveland,2004,https://link.springer.com/article/10.1007/s10009-003-0134-5,Article
