Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Modeling flow information of loops using compositional condition of controls,The Journal of Supercomputing,,,,10.1007/s11227-014-1308-5,Saeed ParsaMehdi Sakhaei-nia,2014,https://link.springer.com/article/10.1007/s11227-014-1308-5,Article
Formal Verification of Loop Bound Estimation for WCET Analysis,"Verified Software: Theories, Tools, Experiments",,,,10.1007/978-3-642-54108-7_15,Sandrine BlazyAndré MaronezeDavid Pichardie,2014,https://link.springer.com/chapter/10.1007/978-3-642-54108-7_15,Conference paper
Extracting finite state representation of Java programs,Software & Systems Modeling,,,,10.1007/s10270-014-0415-3,Tamal SenRajib Mall,2014,https://link.springer.com/article/10.1007/s10270-014-0415-3,Article
Integrating deductive verification and symbolic execution for abstract object creation in dynamic logic,Software & Systems Modeling,,,,10.1007/s10270-014-0446-9,Stijn de GouwFrank de BoerWolfgang AhrendtRichard Bubel,2014,https://link.springer.com/article/10.1007/s10270-014-0446-9,Article
Liveness-Based Garbage Collection,Compiler Construction,,,,10.1007/978-3-642-54807-9_5,Rahul AsatiAmitabha SanyalAmey KarkareAlan Mycroft,2014,https://link.springer.com/chapter/10.1007/978-3-642-54807-9_5,Conference paper
Charting the API minefield using software telemetry data,Empirical Software Engineering,,,,10.1007/s10664-014-9343-7,Maria KechagiaDimitris MitropoulosDiomidis Spinellis,2014,https://link.springer.com/article/10.1007/s10664-014-9343-7,Article
A large study on the effect of code obfuscation on the quality of java code,Empirical Software Engineering,,,,10.1007/s10664-014-9321-0,Mariano CeccatoAndrea CapiluppiPaolo FalcarinCornelia Boldyreff,2014,https://link.springer.com/article/10.1007/s10664-014-9321-0,Article
Formal modeling and analysis of resource management for cloud architectures: an industrial case study using Real-Time ABS,Service Oriented Computing and Applications,,,,10.1007/s11761-013-0148-0,Elvira AlbertFrank S. de BoerReiner HähnleEinar Broch JohnsenRudolf SchlatteS. Lizeth Tapia TarifaPeter Y. H. Wong,2013,https://link.springer.com/article/10.1007/s11761-013-0148-0,Article
Formal Architecture Specification for Time Analysis,Architecture of Computing Systems – ARCS 2014,,,,10.1007/978-3-319-04891-8_9,Hajer HerbegueMamoun FilaliHugues Cassé,2014,https://link.springer.com/chapter/10.1007/978-3-319-04891-8_9,Conference paper
Practical verification of decision-making in agent-based autonomous systems,Automated Software Engineering,,,,10.1007/s10515-014-0168-9,Louise A. DennisMichael FisherNicholas K. LincolnAlexei LisitsaSandor M. Veres,2014,https://link.springer.com/article/10.1007/s10515-014-0168-9,Article
Real-Time Maude and Its Applications,Rewriting Logic and Its Applications,,,,10.1007/978-3-319-12904-4_3,Peter Csaba Ölveczky,2014,https://link.springer.com/chapter/10.1007/978-3-319-12904-4_3,Conference paper
Software Quality Assurance by Static Program Analysis,Software Quality. Model-Based Approaches for Advanced Software and Systems Engineering,,,,10.1007/978-3-319-03602-1_1,Reinhard Wilhelm,2014,https://link.springer.com/chapter/10.1007/978-3-319-03602-1_1,Conference paper
