Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Automated verification of code automatically generated from Simulink<sup>®</sup>
            ",Automated Software Engineering,,,,10.1007/s10515-012-0116-5,Colin O’Halloran,2012,https://link.springer.com/article/10.1007/s10515-012-0116-5,Article
SmartTies – Management of Safety-Critical Developments,"Leveraging Applications of Formal Methods, Verification and Validation. Technologies for Mastering Change",,,,10.1007/978-3-642-34026-0_18,Serge AutexierDominik DietrichDieter HutterChristoph LüthChristian Maeder,2012,https://link.springer.com/chapter/10.1007/978-3-642-34026-0_18,Conference paper
An integrated framework for checking the behaviour of fUML models using CSP,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-012-0243-0,Islam AbdelhalimSteve SchneiderHelen Treharne,2012,https://link.springer.com/article/10.1007/s10009-012-0243-0,Article
Modeling and Analysis of CPU Usage in Safety-Critical Embedded Systems to Support Stress Testing,Model Driven Engineering Languages and Systems,,,,10.1007/978-3-642-33666-9_48,Shiva NejatiStefano Di AlesioMehrdad SabetzadehLionel Briand,2012,https://link.springer.com/chapter/10.1007/978-3-642-33666-9_48,Conference paper
Specification and Verification of Concurrent Programs Through Refinements,Journal of Automated Reasoning,,,,10.1007/s10817-012-9258-1,Sandip RayRob Sumners,2012,https://link.springer.com/article/10.1007/s10817-012-9258-1,Article
Constraint-based BMC: a backjumping strategy,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-012-0258-6,Hélène CollavizzaNguyen Le VinhOlivier PonsiniMichel RueherAntoine Rollet,2012,https://link.springer.com/article/10.1007/s10009-012-0258-6,Article
Efficient Symbolic Execution of Value-Based Data Structures for Critical Systems,NASA Formal Methods,,,,10.1007/978-3-642-28891-3_29,Jason BeltRobbyPatrice ChalinJohn HatcliffXianghua Deng,2012,https://link.springer.com/chapter/10.1007/978-3-642-28891-3_29,Conference paper
An Approach to Model Checking Ada Programs,Reliable Software Technologies – Ada-Europe 2012,,,,10.1007/978-3-642-30598-6_8,José Miguel FariaJoão MartinsJorge Sousa Pinto,2012,https://link.springer.com/chapter/10.1007/978-3-642-30598-6_8,Conference paper
Exploiting structure in LTL synthesis,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-012-0222-5,Emmanuel FiliotNaiyong JinJean-François Raskin,2012,https://link.springer.com/article/10.1007/s10009-012-0222-5,Article
A Lightweight Technique for Distributed and Incremental Program Verification,"Verified Software: Theories, Tools, Experiments",,,,10.1007/978-3-642-27705-4_10,Martin BrainFlorian Schanda,2012,https://link.springer.com/chapter/10.1007/978-3-642-27705-4_10,Conference paper
An empirical approach for early estimation of software testing effort using SRS document,CSI Transactions on ICT,,,,10.1007/s40012-012-0003-z,Ashish SharmaDharmender Singh Kushwaha,2012,https://link.springer.com/article/10.1007/s40012-012-0003-z,Article
A Practical Approach for Closed Systems Formal Verification Using Event-B,Software Engineering and Formal Methods,,,,10.1007/978-3-642-33826-7_22,Brett BicknellJose ReisMichael ButlerJohn ColleyColin Snook,2012,https://link.springer.com/chapter/10.1007/978-3-642-33826-7_22,Conference paper
Formal Verification and Validation of ERTMS Industrial Railway Train Spacing System,Computer Aided Verification,,,,10.1007/978-3-642-31424-7_29,Alessandro CimattiRaffaele CorvinoArmando LazzaroIman NarasamdyaTiziana RizzoMarco RoveriAngela SansevieroAndrei Tchaltsev,2012,https://link.springer.com/chapter/10.1007/978-3-642-31424-7_29,Conference paper
The Practical Application of Formal Methods: Where Is the Benefit for Industry?,Formal Verification of Object-Oriented Software,,,,10.1007/978-3-642-31762-0_3,James J. Hunt,2012,https://link.springer.com/chapter/10.1007/978-3-642-31762-0_3,Conference paper
Distributed and minimal usage control,Service Oriented Computing and Applications,,,,10.1007/s11761-012-0112-4,Debmalya BiswasNikolai NefedovValtteri Niemi,2012,https://link.springer.com/article/10.1007/s11761-012-0112-4,Article
Applying Industrial-Strength Testing Techniques to Critical Care Medical Equipment,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-642-33678-2_6,Christoph Woskowski,2012,https://link.springer.com/chapter/10.1007/978-3-642-33678-2_6,Conference paper
Automated Analysis of Parametric Timing-Based Mutual Exclusion Algorithms,NASA Formal Methods,,,,10.1007/978-3-642-28891-3_28,Roberto BruttomessoAlessandro CarioniSilvio GhilardiSilvio Ranise,2012,https://link.springer.com/chapter/10.1007/978-3-642-28891-3_28,Conference paper
A Formal Approach to Autonomous Vehicle Coordination,FM 2012: Formal Methods,,,,10.1007/978-3-642-32759-9_8,Mikael AsplundAtif ManzoorMélanie BourocheSiobhàn ClarkeVinny Cahill,2012,https://link.springer.com/chapter/10.1007/978-3-642-32759-9_8,Conference paper
Reviewing Software Models in Compliance with ISO 26262,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-642-33678-2_22,Ingo StürmerElke SaleckerHartmut Pohlheim,2012,https://link.springer.com/chapter/10.1007/978-3-642-33678-2_22,Conference paper
Implementing Tactics of Refinement in CRefine,Software Engineering and Formal Methods,,,,10.1007/978-3-642-33826-7_24,Madiel Conserva FilhoMarcel Vinicius Medeiros Oliveira,2012,https://link.springer.com/chapter/10.1007/978-3-642-33826-7_24,Conference paper
Program Analysis Using Quantifier-Elimination Heuristics,Theory and Applications of Models of Computation,,,,10.1007/978-3-642-29952-0_15,Deepak Kapur,2012,https://link.springer.com/chapter/10.1007/978-3-642-29952-0_15,Conference paper
Formal Modelling for Ada Implementations: Tasking Event-B,Reliable Software Technologies – Ada-Europe 2012,,,,10.1007/978-3-642-30598-6_9,Andrew EdmundsAbdolbaghi RezazadehMichael Butler,2012,https://link.springer.com/chapter/10.1007/978-3-642-30598-6_9,Conference paper
