Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Enhancing Autonomous System Security: A&#xa0;Formal Framework for&#xa0;Assessing and&#xa0;Strengthening Autonomous Vehicle Defenses,Distributed Computing for Emerging Smart Networks,,,,10.1007/978-3-031-52823-1_4,Samir OuchaniSouhila Badra GuendouziMohamed Amine Boudouaia,2024,https://link.springer.com/chapter/10.1007/978-3-031-52823-1_4,Conference paper
"Assertions in software testing: survey, landscape, and trends",International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00794-1,Masoumeh TaromiradPer Runeson,2025,https://link.springer.com/article/10.1007/s10009-025-00794-1,Article
Towards Safe Autonomous Driving: Model Checking a Behavior Planner during Development,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-031-57249-4_3,Lukas KönigChristian HeinzemannAlberto GriggioMichaela KlauckAlessandro CimattiFranziska HenzeStefano TonettaStefan KüperkochDennis FassbenderMichael Hanselmann,2024,https://link.springer.com/chapter/10.1007/978-3-031-57249-4_3,Conference paper
