Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Extending AALpy with&#xa0;Passive Learning: A Generalized State-Merging Approach,Computer Aided Verification,,,,10.1007/978-3-031-98685-7_6,Benjamin von BergBernhard K. Aichernig,2025,https://link.springer.com/chapter/10.1007/978-3-031-98685-7_6,Conference paper
MoXIchecker: An Extensible Model Checker for MoXI,"Verified Software. Theories, Tools and Experiments",,,,10.1007/978-3-031-86695-1_1,Salih AtesDirk BeyerPo-Chun ChienNian-Ze Lee,2025,https://link.springer.com/chapter/10.1007/978-3-031-86695-1_1,Conference paper
Static analysis to make the most of CHERI C/C++ for existing code: improving memory safety at scale,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00781-6,Irina DudinaIan Stark,2025,https://link.springer.com/article/10.1007/s10009-025-00781-6,Article
Property-based testing in Python: empirical insights,Empirical Software Engineering,,,,10.1007/s10664-026-10953-w,Isadora de OliveiraArthur Lisboa CorgozinhoHenrique RochaMarco Tulio Valente,2026,https://link.springer.com/article/10.1007/s10664-026-10953-w,Article
Implementing Fuzzy OSF Logic Unification and&#xa0;Normalization (Short Paper),Automated Reasoning,,,,10.1007/978-3-032-32592-1_22,Gian Carlo MilaneseGabriella Pasi,2026,https://link.springer.com/chapter/10.1007/978-3-032-32592-1_22,Conference paper
Mata: A Fast and Simple Finite Automata Library,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-031-57249-4_7,David ChocholatýTomáš FiedorVojtěch HavlenaLukáš HolíkMartin HruškaOndřej LengálJuraj Síč,2024,https://link.springer.com/chapter/10.1007/978-3-031-57249-4_7,Conference paper
ExpectAll: A BDD Based Approach for&#xa0;Link Failure Resilience in&#xa0;Elastic Optical Networks,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-031-82703-7_10,Gustav S. BruhnsMartin P. HansenRasmus HebsgaardFrederik M. W. HyldgaardJiří Srba,2025,https://link.springer.com/chapter/10.1007/978-3-031-82703-7_10,Conference paper
Lazy model checking for recursive state machines,Software and Systems Modeling,,,,10.1007/s10270-024-01159-z,Clemens DubslaffPatrick WienhöftAnsgar Fehnker,2024,https://link.springer.com/article/10.1007/s10270-024-01159-z,Article
